,ResNet152
0,"(0.8372124569265288, 0.036712198687988404)"
1,"(0.8343021867656742, 0.03905838141889455)"
2,"(0.8343250216716284, 0.03906965616019394)"
3,"(0.8343250216716284, 0.03906965616019394)"
4,"(0.5951329806494949, 0.05390866230258434)"
5,"(0.5074825518658385, 0.0457405241233752)"
6,"(0.2613933485475744, 0.031934034427549995)"
7,"(0.41816362196445606, 0.014685429474855186)"
8,"(0.8851987535680927, 0.006081254767558991)"
