,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('lego (2).jpg', 0.9236224077578672)","('balloon (2).jpg', 0.973422185085496)","('balloon (2).jpg', 0.9732942820441534)","('balloon (2).jpg', 0.9732942820441534)","('toothbrush (2).jpg', 0.982236801560154)","('toothbrush (2).jpg', 0.9811152686333976)","('laundry (2).jpg', 1.1016486404427603)","('laundry (2).jpg', 1.2280846714684959)","('laundry (2).jpg', 1.1742716214016111)"
1,"('basketball (2).jpg', 0.9997396363836301)","('balloon (2).jpg', 0.9394346018524707)","('toothbrush (2).jpg', 0.9770161175783977)","('toothbrush (2).jpg', 0.977081245800751)","('toothbrush (2).jpg', 0.977081245800751)","('balloon (2).jpg', 0.9974163207692638)","('rainboots (2).jpg', 1.016514257771176)","('rainboots (2).jpg', 1.1748727223245192)","('dustpan (2).jpg', 1.2961933557678051)","('dustpan (2).jpg', 1.2563521260612882)"
2,"('fries (2).jpg', 1.0)","('toothbrush (2).jpg', 0.9655330426588162)","('lego (2).jpg', 0.9788356935394172)","('lego (2).jpg', 0.9791878831860465)","('lego (2).jpg', 0.9791878831860465)","('fishbowl (2).jpg', 0.9999963784983733)","('broom (2).jpg', 1.0376473653664102)","('nail (2).jpg', 1.1798245964870788)","('basketballrim (2).jpg', 1.3163664693163835)","('pokerchips (2).jpg', 1.3078385349791652)"
3,"('burger (2).jpg', 1.0)","('stroller (2).jpg', 0.9669950410474266)","('bat (2).jpg', 0.9822958288742547)","('bat (2).jpg', 0.9826910301915797)","('bat (2).jpg', 0.9826910301915797)","('rainboots (2).jpg', 1.0016676866961307)","('beachchair (2).jpg', 1.0416088095278229)","('fishbowl (2).jpg', 1.2542615998471565)","('nail (2).jpg', 1.3500363286893613)","('basketballrim (2).jpg', 1.3114386002771061)"
4,"('cow (2).jpg', 1.0)","('broom (2).jpg', 0.971674052202042)","('broom (2).jpg', 0.9828255035554485)","('broom (2).jpg', 0.98278393380881)","('broom (2).jpg', 0.98278393380881)","('bowlingball (2).jpg', 1.0017312206974187)","('punchingbag (2).jpg', 1.04242148306032)","('ovenmitt (2).jpg', 1.2614897519085646)","('dumbbell (2).jpg', 1.3643863122150723)","('balloon (2).jpg', 1.3273642151489426)"
5,"('chicken (2).jpg', 1.0)","('washer (2).jpg', 0.9747880290238786)","('dumbbell (2).jpg', 0.9890145149632346)","('dumbbell (2).jpg', 0.9886869562438924)","('dumbbell (2).jpg', 0.9886869562438924)","('fish (2).jpg', 1.0077835225197245)","('dustpan (2).jpg', 1.0443377035701629)","('ironing (2).jpg', 1.2720348413679574)","('rainboots (2).jpg', 1.383661743837226)","('dumbbell (2).jpg', 1.3282244124934557)"
6,"('tennisball (2).jpg', 1.0000081872830517)","('lifejacket (2).jpg', 0.9850851187693968)","('fish (2).jpg', 0.9930342877001694)","('fish (2).jpg', 0.9925319763748828)","('fish (2).jpg', 0.9925319763748828)","('lego (2).jpg', 1.0095713651261948)","('medal (2).jpg', 1.0461548345495069)","('trophy (2).jpg', 1.2928213120413574)","('pokerchips (2).jpg', 1.3866514394622647)","('nail (2).jpg', 1.351716319895139)"
7,"('bowlingpin (2).jpg', 1.0000081872830517)","('bowlingball (2).jpg', 0.9892545403783722)","('cheesegrater (2).jpg', 0.9944715211458185)","('cheesegrater (2).jpg', 0.9940172259716605)","('cheesegrater (2).jpg', 0.9940172259716605)","('dumbbell (2).jpg', 1.0102551289108272)","('fishbowl (2).jpg', 1.04639930060461)","('stroller (2).jpg', 1.2994104595435751)","('board (2).jpg', 1.400389285378694)","('rainboots (2).jpg', 1.351894701128296)"
8,"('helmet (2).jpg', 1.0000081872830517)","('dustpan (2).jpg', 0.9906979707785233)","('sushi (2).jpg', 0.996339824570809)","('sushi (2).jpg', 0.9970296854848906)","('sushi (2).jpg', 0.9970296854848906)","('laundry (2).jpg', 1.0106109764570328)","('tent (2).jpg', 1.048868745990232)","('basketballrim (2).jpg', 1.3124144351459162)","('balloon (2).jpg', 1.4004916565735068)","('board (2).jpg', 1.3586358413808255)"
9,"('bat (2).jpg', 1.0000081872830517)","('cake (2).jpg', 0.994159780238158)","('washer (2).jpg', 0.998255629124743)","('desk (2).jpg', 0.9984286163594782)","('desk (2).jpg', 0.9984286163594782)","('desk (2).jpg', 1.0120367650356568)","('ironing (2).jpg', 1.0492566303344557)","('chair (2).jpg', 1.3137565148604098)","('garbagebin (2).jpg', 1.4309420594370696)","('belt (2).jpg', 1.373700428169414)"
