,ResNet18_Places365
0,"(0.8943220692571815, 0.005389595612342707)"
1,"(0.9080557962195989, 0.0042739222537306045)"
2,"(0.908907852421868, 0.004155729293027132)"
3,"(0.908907852421868, 0.004155729293027132)"
4,"(0.7133908171449258, 0.0074385828072575785)"
5,"(0.4314193310893186, 0.013061922230354687)"
6,"(0.16265326220254034, 0.011375519468248739)"
7,"(0.08582000039347636, 0.011980406107821674)"
8,"(0.09219555834873272, 0.012188542502163238)"
