,ResNet18_Places365
0,"(1.0079507910552652, 0.022836580427095965)"
1,"(1.0051697759959233, 0.015391649428815041)"
2,"(1.0052192762348915, 0.015226810771000883)"
3,"(1.0052192762348915, 0.015226810771000883)"
4,"(1.0185804168798267, 0.05758115519616535)"
5,"(1.047384609716026, 0.1956442527285916)"
6,"(1.224785974683355, 0.5387150169066036)"
7,"(-10.182136940099365, 67.71258465464429)"
8,"(4.038342245260778, 14.588713792813623)"
