,ResNet18_Places365
0,"(0.8871770416770496, 0.02939086077416545)"
1,"(0.9033617145194328, 0.02575787824260123)"
2,"(0.9041677711686291, 0.024972061445586825)"
3,"(0.9041677711686291, 0.024972061445586825)"
4,"(0.7004673891589311, 0.03472739139643173)"
5,"(0.41100920365499444, 0.04134169169343914)"
6,"(0.1330488372071119, 0.03819306771856739)"
7,"(0.016471996988362717, 0.02480044350745327)"
8,"(0.0214777411536135, 0.0243520501356926)"
