,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('steering_wheel', 1.0569377149830594)","('vacuum', 1.1218348548124701)","('vacuum', 1.121713736321153)","('vacuum', 1.121713736321153)","('rubberduck', 1.3039733761268437)","('coatrack', 1.255145357389098)","('rubberduck', 1.3034382409219152)","('cow', 1.2858148179087705)","('toothpaste', 1.0225400309521058)"
1,"('coatrack', 1.0451735621486542)","('coatrack', 1.1123363358021974)","('coatrack', 1.112490129208738)","('coatrack', 1.112490129208738)","('beachchair', 1.1878057381616791)","('paper', 1.1909782249269854)","('cow', 1.2599011320202504)","('train', 1.242629249643083)","('starfish', 1.0180119875744678)"
2,"('helmet', 1.0388105592082746)","('rubberduck', 1.1057344870154517)","('rubberduck', 1.1057316137579358)","('rubberduck', 1.1057316137579358)","('slippers', 1.1459720511870526)","('rubberduck', 1.1546776975518396)","('paper', 1.2422136414574207)","('cart', 1.2354627335579196)","('hammer', 1.0174567241565926)"
3,"('sink', 1.0382975523653968)","('helmet', 1.0710553986104834)","('helmet', 1.071038380247152)","('helmet', 1.071038380247152)","('rolette', 1.130482986284468)","('stapler', 1.1245978095158242)","('punchingbag', 1.1418676462085677)","('roadsign', 1.1689764747792735)","('trophy', 1.0158060842424228)"
4,"('sofa', 1.037185341681077)","('slippers', 1.0705620574564376)","('slippers', 1.070561404661709)","('slippers', 1.070561404661709)","('tennisball', 1.1236125480662773)","('vacuum', 1.1124248217395676)","('baseballball', 1.1334452176568894)","('cheesegrater', 1.154689527535484)","('steering_wheel', 1.0141954362908463)"
5,"('motorhelmet', 1.035612284487362)","('pot', 1.0639928380493127)","('pot', 1.064108159375525)","('pot', 1.064108159375525)","('coatrack', 1.10696828691327)","('barbie', 1.1050952359355268)","('train', 1.130878553846324)","('motorhelmet', 1.1491409473597312)","('train', 1.0122171656471368)"
6,"('cow', 1.034361762736443)","('beachchair', 1.0593194411559461)","('beachchair', 1.0592776160982458)","('beachchair', 1.0592776160982458)","('barbie', 1.0961694179279293)","('cutter', 1.0996959203060683)","('pot', 1.1254003190854207)","('trophy', 1.146020227862181)","('vacuum', 1.0119430307402038)"
7,"('pot', 1.0331439164897998)","('barbie', 1.0555403327487098)","('barbie', 1.0556252865174804)","('barbie', 1.0556252865174804)","('motorhelmet', 1.0935360027392629)","('ironing', 1.0859132999723689)","('stove', 1.1037420057703078)","('tennisball', 1.1459828491449862)","('sippycup', 1.0107773650114935)"
8,"('parkingmeter', 1.032010896238618)","('sofa', 1.0454768698136068)","('sofa', 1.0454698812858372)","('sofa', 1.0454698812858372)","('beachpail', 1.0932786582644074)","('motorhelmet', 1.0843940668425656)","('beachchair', 1.1020955727450696)","('rolette', 1.1358394205941784)","('bowlingpin', 1.0093143222002288)"
9,"('fries', 1.0307350508489734)","('wheelbarrow', 1.0447296483734925)","('wheelbarrow', 1.0448934321662493)","('wheelbarrow', 1.0448934321662493)","('starfish', 1.0858522151881322)","('cheesegrater', 1.0810431951881925)","('stapler', 1.0936188364436081)","('wheelbarrow', 1.1121252288525236)","('pot', 1.0089259478386077)"
