,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim ', 1.000009743789258)","('beachball ', 1.1443389746987127)","('lamp ', 1.3074453264648216)","('lamp ', 1.3084284464085514)","('lamp ', 1.3084284464085514)","('lamp ', 1.5079974354004106)","('bike ', 1.4499623004058722)","('pizza ', 2.1510960962355967)","('coatrack ', 2.1712847530829573)","('rolette ', 1.0695382386170809)"
1,"('highchair ', 1.0000096725620395)","('tennisball ', 1.1164474609268666)","('bike ', 1.2625494357983529)","('bike ', 1.2638819812209605)","('bike ', 1.2638819812209605)","('bike ', 1.4818384340706199)","('rolette ', 1.4158602669187341)","('carpet ', 2.123240136012126)","('rolette ', 1.8389364648857556)","('bike ', 1.0537304621227503)"
2,"('bike ', 1.0000095331866181)","('rubberduck ', 1.1034504296372312)","('easel ', 1.2104471363155416)","('easel ', 1.211124400882479)","('easel ', 1.211124400882479)","('rubberduck ', 1.4203747815875634)","('rubberduck ', 1.3660983060668768)","('helmet ', 1.9268840525300803)","('hammer ', 1.8384489144399294)","('umbrella ', 1.0519742510363248)"
3,"('footballball ', 1.0000095331866181)","('pallette ', 1.1016647957504078)","('carpet ', 1.2100564488795558)","('carpet ', 1.210263235320589)","('carpet ', 1.210263235320589)","('carpet ', 1.4189801314216839)","('carpet ', 1.3536630839962198)","('rolette ', 1.907797708582033)","('bowlingpin ', 1.8171657626015678)","('horse ', 1.0503530243023624)"
4,"('stroller ', 1.0000095331866181)","('carpet ', 1.0965846109483)","('rubberduck ', 1.1897864027443885)","('rubberduck ', 1.1893399683287749)","('rubberduck ', 1.1893399683287749)","('rolette ', 1.408414083694269)","('excersiceequipment ', 1.3471366018820876)","('bike ', 1.8630538631342402)","('toothbrush ', 1.8111773165238298)","('coatrack ', 1.0498272332973146)"
5,"('motorcycle ', 1.0000095331866181)","('pants ', 1.0871291353988888)","('pants ', 1.162383561736874)","('pants ', 1.1628600499117483)","('pants ', 1.1628600499117483)","('excersiceequipment ', 1.4031221242695981)","('scissors ', 1.3070277341268026)","('motorhelmet ', 1.845954222703739)","('scissors ', 1.6566075032264294)","('pizza ', 1.0475990030917115)"
6,"('tent ', 1.0000095331866181)","('deskchair ', 1.0827698038166989)","('coatrack ', 1.1523920019142322)","('coatrack ', 1.1529015635407127)","('coatrack ', 1.1529015635407127)","('ambulance ', 1.3947160164891566)","('pizza ', 1.2872557307355281)","('coatrack ', 1.766911004104274)","('medal ', 1.6125114371115423)","('ambulance ', 1.0454751481967306)"
7,"('dresser ', 1.0000095331866181)","('backhoe ', 1.0799340442039538)","('baseballball ', 1.1495658543122886)","('baseballball ', 1.1499112165694219)","('baseballball ', 1.1499112165694219)","('easel ', 1.3305383750020368)","('bowlingball ', 1.2764388203364472)","('bowlingball ', 1.7189828182748028)","('trafficlight ', 1.6030843321515105)","('helm2.jpg', 1.0454304918995723)"
8,"('coatrack ', 1.0000094649943658)","('pancake ', 1.0770243490667335)","('ambulance ', 1.146216869189013)","('ambulance ', 1.1465216556262672)","('ambulance ', 1.1465216556262672)","('coatrack ', 1.321932879018106)","('ambulance ', 1.2577603966508504)","('scissors ', 1.7166885005083068)","('motorcycle ', 1.5791392696307374)","('toothpaste ', 1.0446548947270924)"
9,"('helmet ', 1.0000094649943658)","('pizza ', 1.0767220414280654)","('garbagebin ', 1.1457336291351163)","('garbagebin ', 1.1457822598039258)","('garbagebin ', 1.1457822598039258)","('baseballball ', 1.3093034162876827)","('remotecontrol ', 1.2576186676402084)","('lipstick ', 1.6978273244494753)","('doll ', 1.5674160101315253)","('tennisball ', 1.0445673935982451)"
