,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed
0,ResNet101,0,0.9999999690994367,0.9967528011023019,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.42539012584685376,0.42437760882248077,4.239378711188689e-06,0.4743247034990712,True
1,ResNet101,1,1.020305799629202,9.469552645545725e-05,5.3554974314457634e-05,0.004876496640815504,1.0521015676814462,4.409782408122202e-28,2.08801094223774e-30,0.003774189974460705,1.62855805182773e-05,True
2,ResNet101,2,1.007667893930727,0.0803491455808746,0.05563712320143704,0.004293509395533281,1.0546768429597104,2.6503376016625858e-45,3.598917921570429e-47,0.002623114880692826,3.137495355164678e-12,True
3,ResNet101,3,1.0076658822359035,0.08044739163195527,0.05569540945816355,0.004293807051986533,1.0546790127164156,2.748464758144732e-45,3.7255171912243166e-47,0.002624095923905112,3.1280657411868256e-12,True
4,ResNet101,4,1.0076658822359035,0.08044739163195527,0.05569540945816355,0.004293807051986533,1.0546790127164156,2.748464758144732e-45,3.7255171912243166e-47,0.002624095923905112,3.1280657411868256e-12,True
5,ResNet101,5,1.0206391150215641,0.011396908595135131,0.005633833393972017,0.007892881511305875,1.1149931343628314,3.867922265972472e-49,1.057085785380874e-52,0.005094379467086992,2.60807655064566e-13,True
6,ResNet101,6,1.0157510571444155,0.027690450718409462,0.014677898394996764,0.006960915340629642,1.101438974698044,2.573664365576881e-49,2.13977618548504e-51,0.004477738264098742,1.7629875987221328e-13,True
7,ResNet101,7,1.0477249673562783,0.013637432736070525,0.009678165715501041,0.018742922391668842,1.5511628441683962,1.1556676563165058e-61,2.3430708348149868e-65,0.01914084576288413,1.0822068780823266e-25,True
8,ResNet101,8,1.008099506502663,0.025269641263054043,0.02230250511255429,0.0035204992137573524,1.092788888289076,4.717622515783475e-52,3.6426643620974204e-52,0.003876461075821666,1.3917530366971714e-23,True
9,ResNet101,9,1.0021245911356194,0.0006161189464460043,0.0006026601620062718,0.0005890581057947885,1.016560125144494,2.3163323013842694e-66,1.3913006254714224e-66,0.0005274109190154512,1.0992292721779284e-27,True
