,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,ResNet50,0,1.0000015532196633,0.8046411674315926,0.804145775305996,6.211592705344172e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.5230442595956245
1,ResNet50,1,1.0485333421592515,4.572483380593095e-14,2.714167847412057e-14,0.00511750868083132,1.0757902966525008,6.5417977839815e-27,4.2790498272793945e-30,0.005638052507323104,0.0006527243471469902
2,ResNet50,2,1.0684229377971317,1.8995645856032844e-19,3.295136582624874e-19,0.005449398812910562,1.1303992132863112,1.088197367414992e-41,6.490803206504273e-46,0.0066896039635209615,4.6487110418228975e-09
3,ResNet50,3,1.0684508322289208,1.895179801918603e-19,3.2922415861909716e-19,0.005451360985243744,1.1304450030201645,1.0952339085482428e-41,6.490051500060668e-46,0.006692372175293323,4.681540431309872e-09
4,ResNet50,4,1.0684508322289208,1.895179801918603e-19,3.2922415861909716e-19,0.005451360985243744,1.1304450030201645,1.0952339085482428e-41,6.490051500060668e-46,0.006692372175293323,4.681540431309872e-09
5,ResNet50,5,1.0489181328110782,4.626845815448652e-21,8.67008801551668e-21,0.0036150983855397626,1.0875944972636458,5.879362072572814e-48,6.6881878649070595e-50,0.003924259298739102,2.4284282206798e-10
6,ResNet50,6,1.0823547243148,4.626702102169358e-20,4.544899963203128e-20,0.006372556747675882,1.1566289040114413,5.477232780848028e-48,2.5525072382420767e-51,0.0070125014255713386,1.3155209743947555e-11
7,ResNet50,7,1.3204933549477076,3.0392785533433516e-31,4.706897625643934e-31,0.0155582465201744,1.646164555459207,5.304288819422437e-55,4.010692100337323e-58,0.025084449099008647,6.458238358825026e-15
8,ResNet50,8,1.032847691236983,7.566349428188525e-25,1.144888375992467e-24,0.0020585494417168096,1.0673370283756765,3.196447790700409e-49,7.675558810477197e-49,0.002938310681596164,3.929752347672303e-15
9,ResNet50,9,1.0072117253822805,4.5544073072400845e-29,4.652132733344557e-29,0.0003809187288147314,1.0142231675533968,4.27012585118635e-59,2.979385068350114e-59,0.0005097162550995787,8.973478024618625e-17
