,ResNet50
0,"(0.7835051291698197, 0.0465361309436798)"
1,"(0.6365959084264512, 0.07436439854572795)"
2,"(0.6365726848589607, 0.07435799780657901)"
3,"(0.6365726848589607, 0.07435799780657901)"
4,"(0.6513392423055294, 0.044300269258970446)"
5,"(0.4715924683713564, 0.047385940819667204)"
6,"(0.14426209582909993, 0.0451340627389388)"
7,"(0.4029094586931396, 0.00932785648616937)"
8,"(0.8846790029266127, 0.0043588550690613756)"
