,ResNet50
0,"(0.7853842073959669, 0.010361254943193513)"
1,"(0.6415142049014022, 0.012795938299815015)"
2,"(0.6414908486706808, 0.012796467270382052)"
3,"(0.6414908486706808, 0.012796467270382052)"
4,"(0.6536264991993495, 0.009051574653458074)"
5,"(0.4746508206594209, 0.008129181647173512)"
6,"(0.13851791090917506, 0.006739595048771599)"
7,"(0.4037395515456597, 0.0016294570571375273)"
8,"(0.884782144467816, 0.0007395177861930923)"
