,ResNet50
0,"(1.0014956904002517, 0.06181090578208442)"
1,"(1.0100327341152338, 0.10408271316255392)"
2,"(1.0100319593236715, 0.1040978912663764)"
3,"(1.0100319593236715, 0.1040978912663764)"
4,"(1.0033801199699477, 0.07027513918795625)"
5,"(1.0084138668855787, 0.09330335896393706)"
6,"(0.9686167441820647, 0.2064735023498501)"
7,"(1.0021319509800979, 0.020610092051785295)"
8,"(1.0001191813105927, 0.003973705497688757)"
