,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim ', 1.000009743789258)","('pallette ', 1.343778711029577)","('bike ', 1.4919016367679367)","('bike ', 1.492327220079498)","('bike ', 1.492327220079498)","('carpet ', 1.2635769531487226)","('rubberduck ', 1.5849230341028355)","('carpet ', 2.924017731400944)","('rolette ', 1.1710457518709199)","('bike ', 1.0359758933713523)"
1,"('highchair ', 1.0000096725620395)","('tennisball ', 1.3287591851328362)","('lamp ', 1.451311071939309)","('lamp ', 1.4514071234053008)","('lamp ', 1.4514071234053008)","('lamp ', 1.2535278626840145)","('carpet ', 1.4542705952152628)","('rolette ', 2.810668332156004)","('bike ', 1.167454962258504)","('rolette ', 1.0345689801466091)"
2,"('bike ', 1.0000095331866181)","('beachball ', 1.2995690483232467)","('carpet ', 1.4020777465881216)","('carpet ', 1.4022158925820232)","('carpet ', 1.4022158925820232)","('rubberduck ', 1.2378983794538367)","('bike ', 1.4203224279972528)","('bike ', 2.5496419414959264)","('mailbox ', 1.1472604082898603)","('tractor ', 1.028978204442814)"
3,"('footballball ', 1.0000095331866181)","('rubberduck ', 1.2786016608180275)","('easel ', 1.3692774211188319)","('easel ', 1.3695212201390976)","('easel ', 1.3695212201390976)","('bike ', 1.2226560822850232)","('rolette ', 1.3545346563180116)","('bowlingball ', 2.3894578894692318)","('motorcycle ', 1.145630996151918)","('motorcycle ', 1.028892486156472)"
4,"('stroller ', 1.0000095331866181)","('bag ', 1.1902783612709917)","('rubberduck ', 1.3099476462818789)","('rubberduck ', 1.3099288614727014)","('rubberduck ', 1.3099288614727014)","('coatrack ', 1.194479376114061)","('coatrack ', 1.3374640935529334)","('coatrack ', 2.270162588907061)","('hammer ', 1.1443659560219281)","('horse ', 1.0285303951205083)"
5,"('motorcycle ', 1.0000095331866181)","('train ', 1.1836620550760288)","('pizza ', 1.286763059279335)","('pizza ', 1.2868841205370392)","('pizza ', 1.2868841205370392)","('pizza ', 1.1765507796106505)","('lamp ', 1.3272962923911604)","('lamp ', 2.216210069244791)","('carpet ', 1.1436878489534663)","('handgun1 (2).JPG', 1.0275975317505093)"
6,"('tent ', 1.0000095331866181)","('carpet ', 1.1822114168741293)","('tennisball ', 1.2667074237582359)","('tennisball ', 1.266710224817111)","('tennisball ', 1.266710224817111)","('easel ', 1.171152875650548)","('chess ', 1.2969170201398887)","('pizza ', 2.1902492369639095)","('bag ', 1.130435156320584)","('hammer ', 1.0265727282764066)"
7,"('dresser ', 1.0000095331866181)","('pancake ', 1.165978379900553)","('pants ', 1.2609198422132657)","('pants ', 1.2609577152361817)","('pants ', 1.2609577152361817)","('rolette ', 1.1620611435203492)","('excersiceequipment ', 1.2720717679263027)","('motorhelmet ', 2.179650934107169)","('fish ', 1.130282798965366)","('lamp ', 1.0255465642488166)"
8,"('coatrack ', 1.0000094649943658)","('pizza ', 1.16581220311258)","('coatrack ', 1.2421346738136503)","('coatrack ', 1.242174960446716)","('coatrack ', 1.242174960446716)","('train ', 1.1576033044294154)","('train ', 1.2704268414545108)","('tractor ', 2.161574626940127)","('umbrella ', 1.1294825209869468)","('fish ', 1.0249242959432974)"
9,"('helmet ', 1.0000094649943658)","('roses ', 1.1648115391211584)","('television ', 1.2347258605400777)","('television ', 1.2347391953201705)","('television ', 1.2347391953201705)","('racket ', 1.1516382533702938)","('coffeetable ', 1.259526788297362)","('helmet ', 2.119786665685526)","('bowlingpin ', 1.1272026023251063)","('carpet ', 1.024202876773441)"
