,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios,Layer11inVals,Layer11inOutRatios,Layer12inVals,Layer12inOutRatios,Layer13inVals,Layer13inOutRatios,Layer14inVals,Layer14inOutRatios,Layer15inVals,Layer15inOutRatios,Layer16inVals,Layer16inOutRatios,Layer17inVals,Layer17inOutRatios,Layer18inVals,Layer18inOutRatios,Layer19inVals,Layer19inOutRatios,Layer20inVals,Layer20inOutRatios,Layer21inVals,Layer21inOutRatios,Layer22inVals,Layer22inOutRatios,Layer23inVals,Layer23inOutRatios,Layer24inVals,Layer24inOutRatios,Layer25inVals,Layer25inOutRatios,Layer26inVals,Layer26inOutRatios,Layer27inVals,Layer27inOutRatios,Layer28inVals,Layer28inOutRatios,Layer29inVals,Layer29inOutRatios,Layer30inVals,Layer30inOutRatios,Layer31inVals,Layer31inOutRatios
13,1.0,1.0000094649943658,0.9556710785558995,1.012195376135652,0.9568930172400625,1.0123549240789989,0.8626871288662494,1.0792858085191421,0.8626951010962124,1.079288751737718,0.8626951010962124,1.079288751737718,0.6964682195271596,1.079089769943877,0.6964682195271596,1.0790936007374543,0.6671090259738415,1.2300376504041073,0.6671090259738415,1.2300376504041073,0.6671090259738415,1.2300376504041073,0.6764450319633497,1.1979355652943762,0.6764750504218512,1.1978628138581664,0.6707850457346451,1.2550609305260656,0.6707850457346451,1.2550530914525264,0.6914724854305451,1.4379139590244183,0.6914752298768161,1.437895704445838,0.6914752298768161,1.437895704445838,0.6438521370709072,1.544234427231349,0.6437748323085606,1.5446278623863638,0.5597341319361708,1.6250308018598074,0.559634859688401,1.6276557080884901,0.508983866295258,1.8184142269635029,0.5091073742287684,1.828231864719905,0.5091073742287684,1.828231864719905,0.4904460042011749,1.9858045871662235,0.48836861344381965,1.9913744937420146,0.47677576530714794,2.4464888142396397,0.4735602723730242,2.5056159626910373,0.4621286561355301,2.7478058857988223,0.43430029632260175,3.0265818591440468
14,1.0,1.000009397770763,0.9055471051245523,1.0383267017621942,0.9054101397711104,1.0377103820817324,0.6395644201452757,1.2410911289843545,0.6395644201452757,1.2411150188035545,0.6395644201452757,1.2411150188035545,0.6847047546370828,1.6173291024081968,0.6847047546370828,1.6173347557656141,0.5895968055119447,1.7584339802926543,0.5895968055119447,1.7584339802926543,0.5895968055119447,1.7584339802926543,0.6998663609000306,1.3853948590377043,0.6998663609000306,1.3852558233866834,0.7160056098497696,1.4089818045870637,0.7160056098497696,1.4090114724907603,0.6710179315076559,1.5802042069653146,0.6710179315076559,1.580271292878228,0.6710179315076559,1.580271292878228,0.6598570260665457,1.595218716448661,0.6598118943749537,1.5956703743795562,0.6929142791209205,1.8229699411037472,0.6923323691660442,1.8268805389247453,0.7165370227918173,2.1290875683233126,0.7144369809530634,2.152980176088481,0.7144369809530634,2.152980176088481,0.6985685356275187,2.2464889172733806,0.6943477331708461,2.2647172390706407,0.6941739369542091,2.6043744677727334,0.6880309725792525,2.67400842134228,0.6688932300395504,2.9557647329290306,0.6497458109822191,3.2758309977166045
15,1.0,1.0000081872830517,0.8952417259110558,1.0018054955971094,0.901991244298981,1.0006177078119052,0.5928721955127074,1.075512627107322,0.5921908756935282,1.0748297444004158,0.5921908756935282,1.0748297444004158,0.618349893947132,1.427805817694474,0.6181633878971395,1.4274331650926018,0.44595263042395156,1.2310454904836685,0.44595263042395156,1.2310454904836685,0.44595263042395156,1.2310454904836685,0.5806234832795958,1.1068276740755834,0.5806234832795958,1.1067602040161102,0.6641523470817676,1.1878862050043144,0.6641523470817676,1.187887890226794,0.6476087084653444,1.2823303052145558,0.6476087084653444,1.2823610579262068,0.6476087084653444,1.2823610579262068,0.5992087998515618,1.3448113743035581,0.5988962816844667,1.344954504919776,0.6016418500069106,1.4718190699235385,0.6009686502694617,1.4757343533550564,0.6084897416404751,1.7022418124929197,0.6052256086564458,1.7144295812939885,0.6052256086564458,1.7144295812939885,0.6330582260018287,1.8497166881256466,0.6297117150503034,1.860396767289255,0.6151019915110227,2.1706848203510405,0.6099820704114288,2.2215232490071033,0.640273069844504,2.9434748166737865,0.6281178230661684,3.334342112137792
16,1.0,1.000009397770763,0.9509237010308812,1.0001186007468816,0.952509479234485,1.0006029294795014,0.7975555464560969,1.0295512188842784,0.7975555464560969,1.0295575113681252,0.7975555464560969,1.0295575113681252,0.6937140827409731,1.0625515884386354,0.6937140827409731,1.0625530261597915,0.5641787533825235,1.0436812675926197,0.5641787533825235,1.0436812675926197,0.5641787533825235,1.0436812675926197,0.6128807100738551,1.0559481742737207,0.6128807100738551,1.0559248474466274,0.6064795097512311,1.0948775850958077,0.6064795097512311,1.094885920712683,0.5509467206894729,1.156428264819945,0.5509467206894729,1.1564732418708603,0.5509467206894729,1.1564732418708603,0.4984210093918596,1.1934984274123943,0.49735371253927474,1.1928337785282888,0.5225442911597474,1.3728333539702193,0.5191727456337724,1.3723969824902162,0.4922490765982682,1.5456064210422038,0.48701463730428296,1.5569164701381386,0.48701463730428296,1.5569164701381386,0.4777003828894236,1.642349737183496,0.47596463808715067,1.6495140545257807,0.4732495560374378,1.9598986966734935,0.46044545365050116,1.9905265488740302,0.4967473180414693,2.637128892266901,0.476645179320969,2.950795262816273
17,1.0,1.0000085777357148,0.9371808006940657,1.0045814495415752,0.937896345509275,1.0025411509826962,0.7926211065050464,1.055474566919944,0.7926211065050464,1.0554865944389422,0.7926211065050464,1.0554865944389422,0.7137917294679437,1.102567988402858,0.7137917294679437,1.102575653820136,0.6581500141527898,1.2272233524768177,0.6581500141527898,1.2272233524768177,0.6581500141527898,1.2272233524768177,0.6661851225395191,1.190487862296694,0.6661851225395191,1.1904343555999188,0.6556596694381389,1.1932607742134587,0.6556596694381389,1.193263801102681,0.5977648048770797,1.261639567986073,0.5976893232226004,1.2617099325963403,0.5976893232226004,1.2617099325963403,0.5786090371404701,1.405895378060814,0.5774196767489214,1.4056284859538741,0.5985739085632105,1.5665222068125153,0.5905662375256222,1.5604830487063153,0.5893296300620658,1.7536968736075291,0.5801419817494201,1.7693505126377702,0.5801419817494201,1.7693505126377702,0.5635377210793667,1.8482854502425867,0.5613587322773551,1.8595860850733938,0.5369051549112717,2.100219726574071,0.5227409906608873,2.151713900607975,0.5650211146882663,2.8168774429467067,0.5444954525378071,3.0967676150619483
18,1.0,1.000009397770763,0.9685964305431186,1.0133608721019634,0.9686677075025208,1.0129931670157843,0.9121468230540115,1.1052809102724024,0.9121468230540115,1.105282858614525,0.9121468230540115,1.105282858614525,0.7962162892690886,1.1654125074492243,0.7962162892690886,1.1654175237077722,0.7073127776945387,1.189760118949313,0.7073127776945387,1.189760118949313,0.7073127776945387,1.189760118949313,0.684061880336176,1.151529651096697,0.684061880336176,1.1515433503765846,0.6762165856334434,1.1875953517926794,0.6762165856334434,1.1875798531411819,0.6452738042259899,1.2804363168548532,0.6452738042259899,1.280451221339495,0.6452738042259899,1.280451221339495,0.6070345325682194,1.3811423865290937,0.6069578380294471,1.381809987237956,0.5599836444565254,1.4629307775215588,0.5598919858188776,1.4663901054195136,0.5434875364504808,1.7386988707277395,0.5430112509841903,1.7502727073184585,0.5430112509841903,1.7502727073184585,0.5821131166206314,1.9666195767516492,0.5798717098530947,1.9774055021341395,0.5711249125143244,2.523283885790234,0.565597310010635,2.6016385254947845,0.5654775432143311,3.0746280156179093,0.551467662979125,3.393668123198859
19,1.0,1.0000095331866181,0.9698104173139821,1.0159935436498104,0.9698104173139821,1.0154767412981258,0.8313420905251194,1.0523156907121645,0.8313420905251194,1.052312255150222,0.8313420905251194,1.052312255150222,0.6922275055745057,1.077164524948606,0.6922275055745057,1.077167970073619,0.6620186117900912,1.235935186065662,0.6620186117900912,1.235935186065662,0.6620186117900912,1.235935186065662,0.6340067524647708,1.1735807276668386,0.6340067524647708,1.173604081253612,0.5786389902059919,1.1294464994555935,0.5786389902059919,1.1294540347155535,0.5610289638148845,1.2955000338116422,0.5610289638148845,1.2955607586062512,0.5610289638148845,1.2955607586062512,0.5685891984196285,1.5501563736705493,0.5679422066845694,1.550834179102939,0.5733021272817798,1.6433449351238387,0.5698643506714458,1.6429866749956918,0.5290029319628662,1.8428336064175095,0.5222946398902326,1.8613839374522174,0.5222946398902326,1.8613839374522174,0.5846641416541635,2.11440272360081,0.5721936860147478,2.121963698906741,0.601106506641867,2.7639957458404787,0.5807738855778917,2.884166775548952,0.6016631886928832,3.72100592643641,0.5627801125972098,4.650152816547805
20,1.0,1.0000095331866181,0.992358256477759,1.03150493178863,0.992358256477759,1.0310508611853528,0.9579015850322271,1.1436743038078354,0.9579015850322271,1.1436790855538497,0.9579015850322271,1.1436790855538497,0.8763920493379678,1.1995557812602842,0.8763920493379678,1.19956016452155,0.7835117226967828,1.2564088223980392,0.7835117226967828,1.2564088223980392,0.7835117226967828,1.2564088223980392,0.8159875940049683,1.2654512694309392,0.8161295785872792,1.2655745796716211,0.7779082342168506,1.292248611338622,0.7779082342168506,1.2922543523536054,0.7777067300530891,1.459897637959306,0.7777067300530891,1.459926116474782,0.7777067300530891,1.459926116474782,0.8061714339739815,1.700339017299387,0.8062476767740675,1.701319701042321,0.7810396477688177,2.0772859964530292,0.7807008727090967,2.0845786266936055,0.7830466817074171,2.750494353128998,0.7833053825869134,2.768186640809071,0.7833053825869134,2.768186640809071,0.7797986168057938,3.50216016275635,0.7785898217118742,3.518732758642166,0.7873242608070503,4.314420056720143,0.785001670287981,4.469629029071528,0.7552117508344676,5.573397979574199,0.7479338395883195,6.4336485057616235
21,1.0,1.0000094649943658,0.975599008002634,1.0183444490497788,0.975599008002634,1.0178688009209895,0.8965231975156535,1.104350333797249,0.8965231975156535,1.104353730328706,0.8965231975156535,1.104353730328706,0.81391136204488,1.1711657313393766,0.81391136204488,1.1711682410047166,0.7303188577526051,1.2676777174863645,0.7303188577526051,1.2676777174863645,0.7303188577526051,1.2676777174863645,0.7225237025084134,1.2066505919959034,0.7225237025084134,1.206643544238091,0.7065578302176343,1.2372148760343251,0.7065578302176343,1.2372090511994496,0.6446006579260238,1.2671796052800894,0.6446006579260238,1.2672163930845346,0.6446006579260238,1.2672163930845346,0.6019279294113064,1.3568585331993988,0.6021068737430708,1.357903241461079,0.5785601294678784,1.5259746737501219,0.5783832302395314,1.5291198276414917,0.5603654204269167,1.70223520769208,0.5582193585911911,1.7134502032670884,0.5582193585911911,1.7134502032670884,0.5814016897101093,1.9031959952177702,0.5790808948803496,1.906780695832035,0.5623229755838359,2.325895643994962,0.5563451314838295,2.3886538922507206,0.5386103263458575,2.728043354754426,0.520726218166271,2.996722311923795
22,1.0,1.000009397770763,0.9594699193426631,1.0028588450696259,0.959689092732296,1.0026697558455773,0.8599874509117594,1.047170646003371,0.8599874509117594,1.0471743584617632,0.8599874509117594,1.0471743584617632,0.7480045316523419,1.0822081421914733,0.7480045316523419,1.082211904137401,0.6712529267592384,1.1701554371083784,0.6712529267592384,1.1701554371083784,0.6712529267592384,1.1701554371083784,0.6623677147253041,1.1439460920352025,0.6623677147253041,1.1439306591027274,0.6261319782556484,1.17042083023132,0.6261319782556484,1.1703909792547744,0.5060972602717039,1.141804452329025,0.5060972602717039,1.141786097092703,0.5060972602717039,1.141786097092703,0.48153016533231974,1.2472704526794878,0.48085559661452476,1.2469803159973112,0.4650551999290231,1.447951478432404,0.46234489133900186,1.4488854629567955,0.42246116768455294,1.496199834006154,0.4216392396815903,1.5093718017890538,0.4216392396815903,1.5093718017890538,0.41841399169597915,1.4929930295195941,0.4136473996126959,1.49393939108587,0.358595401227205,1.7590819138565745,0.353723338581711,1.8051413231211566,0.4055601513575461,2.493631862424709,0.39198102480378266,2.6830349356652405
