,ResNet101
0,"(0.8732668925278368, 0.005686126189951537)"
1,"(0.8367312300933805, 0.005772707158355928)"
2,"(0.8367843314253511, 0.005768800936370221)"
3,"(0.8367843314253511, 0.005768800936370221)"
4,"(0.6687724227737551, 0.008787290134832119)"
5,"(0.5915108614118447, 0.006610770065008719)"
6,"(0.21990602850576438, 0.005611691730356321)"
7,"(0.4085900156687363, 0.0021163049685405913)"
8,"(0.8835435564417085, 0.0008946837822743158)"
