,ResNet101
0,"(1.0117217862079897, 0.03085769775450065)"
1,"(1.005141207926357, 0.03254930629392297)"
2,"(1.0051365095338949, 0.032536203825680864)"
3,"(1.0051365095338949, 0.032536203825680864)"
4,"(1.006746335182786, 0.05659397796453755)"
5,"(1.010647318602403, 0.05612712857977297)"
6,"(1.0243465027355627, 0.1141471696456448)"
7,"(1.0010375814721024, 0.0229555466027167)"
8,"(1.000462943739675, 0.0034823927742012855)"
