,ResNet101
0,"(0.8630729021638268, 0.027726266679870194)"
1,"(0.8328598013402078, 0.03998950018632973)"
2,"(0.8329163359489986, 0.039965255980940244)"
3,"(0.8329163359489986, 0.039965255980940244)"
4,"(0.6646307398966017, 0.05374201863890467)"
5,"(0.5857338296509733, 0.03993126741575672)"
6,"(0.21466632391486676, 0.02944166080914541)"
7,"(0.4081487347949996, 0.011087658332251435)"
8,"(0.8831322308340572, 0.005119299447697215)"
