,models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio,models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio,models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio,models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio,models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio,models,invalCorrelations,pVal_inVal,inOutRatioCorrelations,pVal_inOutRatio
0,"AlexNet_L2,ResNet50_L2",0.8877361284576293,{6.0853141158014475e-25},0.7622677747559176,{1.14563455235878e-14},"AlexNet_L2,Vgg16_L2",0.8166203576910024,{3.94588428804873e-18},0.6866301919094925,{3.8349825888045174e-11},"ResNet50_L2,Vgg16_L2",0.937652052236565,{2.1899953374012164e-33},0.9027328166311128,{5.589556638277873e-27},"AlexNet_Places365_L2,ResNet18_Places365_L2",0.9164848656834864,{3.6727685620388167e-29},0.9114128616448328,{2.5763636360842148e-28},"AlexNet_Places365_L2,ResNet50_Places365_L2",0.8767053381653744,{1.2764622837426968e-23},0.8765152946031776,{1.341709009773432e-23},"AlexNet_L2,ResNet18_Places365_L2",0.8951778609851666,{6.487571351725623e-26},0.8237167047843872,{1.1471646941765204e-18}
1,"AlexNet_L2,ResNet50_L9",0.1581536760155292,{0.1877447359652912},0.128992925615821,{0.28367167152650724},"AlexNet_L2,Vgg16_L30",0.3567335868608828,{0.002260501774728021},0.417033506116875,{0.00029695940700524246},"ResNet50_L2,Vgg16_L30",0.2889709595153801,{0.014522215316484578},0.4425830615177921,{0.000111230874394662},"AlexNet_Places365_L2,ResNet18_Places365_L9",0.2125446496687554,{0.07515171394637817},0.456561019756212,{6.283470568280893e-05},"AlexNet_Places365_L2,ResNet50_Places365_L9",0.0369932518546982,{0.7593894311719912},0.32963441586262,{0.004997945987623907},"AlexNet_L2,ResNet18_Places365_L9",0.2888872845475,{0.014552010175889231},0.4598667363606439,{5.469563951177512e-05}
2,"AlexNet_L12,ResNet50_L9",0.1440089069780327,{0.23085501533106445},0.4892720819819299,{1.4923239155121683e-05},"AlexNet_L12,Vgg16_L30",0.897801544024478,{2.8299822848778144e-26},0.8886427416926065,{4.67259514279096e-25},"ResNet50_L9,Vgg16_L30",0.2142058255011003,{0.07284886246293282},0.5172512192973127,{3.860959327128587e-06},"AlexNet_Places365_L12,ResNet18_Places365_L9",0.7872069286827955,{3.9422108038157895e-16},0.8242501702847083,{1.04310384446314e-18},"AlexNet_Places365_L12,ResNet50_Places365_L9",0.7288001112545959,{5.804580382460032e-13},0.7697550777962092,{4.3555064507889645e-15},"AlexNet_L12,ResNet18_Places365_L9",0.7188669036582336,{1.667502001260753e-12},0.8258109162259228,{7.883156014282285e-19}
3,"AlexNet_L12,ResNet50_L2",0.3072407258938326,{0.009153409312312451},0.4903342263362696,{1.4207025061009132e-05},"AlexNet_L12,Vgg16_L2",0.2839188846966496,{0.016418263678391807},0.5103532636447596,{5.4488066093359205e-06},"ResNet50_L9,Vgg16_L2",0.1385671244327664,{0.2491434839289074},0.2619342439964995,{0.02734185020857919},"AlexNet_Places365_L12,ResNet18_Places365_L2",0.2823178123105281,{0.017061903482949517},0.5620498931280642,{3.391608368997408e-07},"AlexNet_Places365_L12,ResNet50_Places365_L2",0.3076241541199935,{0.00906241729196121},0.5770628923523207,{1.3820236528567558e-07},"AlexNet_L12,ResNet18_Places365_L2",0.2834209115360399,{0.016616178500312852},0.4964331574214205,{1.0677428870403864e-05}
