,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed
0,Resnext50_32x4d,0,0.9999999690994367,0.9967528011023019,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.42539012584685376,0.42437760882248077,4.239378711188689e-06,0.4743247034990712,True
1,Resnext50_32x4d,1,1.0247706626594626,0.00012642966185952647,5.605007561670231e-05,0.00607007793861187,1.0669283200915605,5.6723430576599954e-30,1.1294341559982407e-32,0.004604327349838009,4.9052099011796475e-06,True
2,Resnext50_32x4d,2,1.0159981928479698,0.05975838043994361,0.03252665295902918,0.008306514261320194,1.1039823736366234,9.83274733833965e-41,1.011275557163018e-44,0.005509108640483695,1.2214029619339355e-10,True
3,Resnext50_32x4d,3,1.0162599524479432,0.05745070864506396,0.03106771037918203,0.00836364853601996,1.104947672863734,1.494751062038465e-40,1.3750710421974424e-44,0.00558290376362066,1.2272066855622123e-10,True
4,Resnext50_32x4d,4,1.0162599524479432,0.05745070864506396,0.03106771037918203,0.00836364853601996,1.104947672863734,1.494751062038465e-40,1.3750710421974424e-44,0.00558290376362066,1.2272066855622123e-10,True
5,Resnext50_32x4d,5,1.014665394419938,0.014185291892699842,0.008848742031488716,0.00579413590836441,1.0897818794533995,2.411544804410934e-49,7.208058348772004e-52,0.0039608896903858045,2.449524949596729e-15,True
6,Resnext50_32x4d,6,1.0161873365047438,0.07386377038634441,0.045253277515989156,0.008862842900209689,1.1406386136610551,1.3132791588442598e-56,5.661462364388097e-60,0.0053747673000710365,2.810460483106652e-16,True
7,Resnext50_32x4d,7,1.0399917085076926,0.017599054307594668,0.01284926327139219,0.01634527983489548,1.4025044690951414,1.6270917829348994e-58,8.379242791471217e-60,0.014831742937595786,3.599466713303211e-24,True
8,Resnext50_32x4d,8,1.0019157492704145,0.1883398448925202,0.1728743039678548,0.0014325595081807242,1.0169439434971839,5.98113852730018e-18,7.581796412027483e-18,0.0017070982449283573,1.431257543672165e-10,True
9,Resnext50_32x4d,9,1.0003541190055432,0.044683398307342484,0.04396957167517237,0.00017211643049959996,1.0033342896530761,1.862290529962745e-42,1.8945517375162732e-42,0.0001700596829983874,9.334018355521748e-21,True
