,ResNet50_Places365
0,"(0.8280561696874952, 0.043572664164437176)"
1,"(0.886877941047036, 0.0331106323210516)"
2,"(0.8872904984059674, 0.032833138503714804)"
3,"(0.8872904984059674, 0.032833138503714804)"
4,"(0.758535068191466, 0.03668662764346732)"
5,"(0.5585511020775389, 0.03970438288018746)"
6,"(0.11341868137735384, 0.02334136479438342)"
7,"(0.09937009592521254, 0.02251278870252075)"
8,"(0.06218980830258365, 0.019390670380574675)"
