,ResNet50_Places365
0,"(0.9993864981605955, 0.04794608801277346)"
1,"(0.9997159285131701, 0.019485085211312272)"
2,"(0.9997374451942111, 0.019395145590650583)"
3,"(0.9997374451942111, 0.019395145590650583)"
4,"(1.0022686045949174, 0.03722046536210718)"
5,"(1.0138469532426178, 0.0984836251495389)"
6,"(1.1282608279311037, 0.5795761461133335)"
7,"(1.585704119191607, 1.0599682545541518)"
8,"(2.192105296323545, 2.710086491742598)"
