,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.7897274066510879)","('69tub', 0.7953599571520572)","('69tub', 0.7953599571520572)","('01art', 0.9290871728377943)","('01art', 0.9291277090679173)","('01art', 0.9291277090679173)","('01art', 0.8889717857046107)","('01art', 0.8814599448707638)","('01art', 0.4786762237419776)","('01art', 0.4408316066264182)","('02baby', 0.6090138401218493)","('02baby', 0.6190784559472836)"
1,"('06basketball', 0.9998745821547136)","('21cheese', 0.85109860346985)","('21cheese', 0.8516215538275433)","('21cheese', 0.8516215538275433)","('63teethhygene', 0.9402728527455837)","('63teethhygene', 0.9402639283920587)","('63teethhygene', 0.9402639283920587)","('63teethhygene', 0.9040992562325877)","('63teethhygene', 0.9007143118658045)","('38groceryshopping', 0.5006173369966357)","('02baby', 0.503526385850138)","('12birdcage', 0.6408283970433658)","('39gun', 0.6388571596276083)"
2,"('17burger', 1.0)","('05baseball', 0.8642506607708094)","('05baseball', 0.861650501101989)","('05baseball', 0.861650501101989)","('05baseball', 0.9458399943383959)","('05baseball', 0.9458334391596548)","('05baseball', 0.9458334391596548)","('05baseball', 0.9220629960393489)","('51makeup', 0.9163642875157612)","('02baby', 0.5329740306181291)","('38groceryshopping', 0.5135484649654378)","('39gun', 0.640840200173426)","('38groceryshopping', 0.6654696192276939)"
3,"('32farm_animals', 1.0)","('64tennis', 0.8924565552621755)","('64tennis', 0.8922093501733366)","('64tennis', 0.8922093501733366)","('21cheese', 0.9532548292888355)","('21cheese', 0.9532401958920159)","('21cheese', 0.9532401958920159)","('51makeup', 0.9286690202079185)","('05baseball', 0.9214584729629225)","('51makeup', 0.5645671212062795)","('51makeup', 0.5153141883799779)","('38groceryshopping', 0.6649565261133603)","('19carpet', 0.6728099325067801)"
4,"('02baby', 1.0000054538854783)","('01art', 0.9185115574081478)","('01art', 0.9200091729210267)","('01art', 0.9200091729210267)","('64tennis', 0.9676426439334498)","('64tennis', 0.9676535602649465)","('64tennis', 0.9676535602649465)","('21cheese', 0.9466149629087726)","('21cheese', 0.9327780958609855)","('12birdcage', 0.6275288603467648)","('12birdcage', 0.6346859287295793)","('19carpet', 0.6942425087386411)","('12birdcage', 0.6772883201810688)"
5,"('46kitchen2', 1.0000055379211592)","('38groceryshopping', 0.9342926095963192)","('63teethhygene', 0.9335689043211359)","('63teethhygene', 0.9335689043211359)","('51makeup', 0.9689339857198399)","('51makeup', 0.9689322880479442)","('51makeup', 0.9689322880479442)","('39gun', 0.9597130909164872)","('67toy', 0.95716637621679)","('39gun', 0.7141038950123606)","('39gun', 0.7049191993483048)","('51makeup', 0.7503039952171195)","('51makeup', 0.7285470425026949)"
6,"('45kitchen', 1.0000055379211592)","('63teethhygene', 0.9344284597734293)","('38groceryshopping', 0.9345551744388213)","('38groceryshopping', 0.9345551744388213)","('24cleaning', 0.9716919364116344)","('24cleaning', 0.9716756166422628)","('24cleaning', 0.9716756166422628)","('67toy', 0.960918059523275)","('39gun', 0.957754237721597)","('67toy', 0.7642222772024054)","('63teethhygene', 0.7429854232549357)","('67toy', 0.8029750918528542)","('67toy', 0.7507718951649271)"
7,"('10bed-dresser', 1.0000089655355493)","('24cleaning', 0.9430150824795355)","('62sushi', 0.9416857037168548)","('62sushi', 0.9416857037168548)","('38groceryshopping', 0.9738359771373689)","('38groceryshopping', 0.9738284958758308)","('38groceryshopping', 0.9738284958758308)","('38groceryshopping', 0.9655308913578781)","('38groceryshopping', 0.960698047575917)","('63teethhygene', 0.7890047430677036)","('67toy', 0.7560440656211814)","('01art', 0.8127297954966095)","('01art', 0.7969530194258463)"
8,"('69tub', 1.000009099550753)","('62sushi', 0.9434311562581671)","('24cleaning', 0.9439449266286812)","('24cleaning', 0.9439449266286812)","('02baby', 0.9805831486874687)","('02baby', 0.9805701546993218)","('02baby', 0.9805701546993218)","('62sushi', 0.9696018505984277)","('44kayak', 0.9703237810139019)","('19carpet', 0.8041472305928571)","('21cheese', 0.8001138284574508)","('47laundry', 0.815113655397746)","('47laundry', 0.7984155871818571)"
9,"('65toilet', 1.000009099550753)","('23childEating', 0.9549484952973797)","('23childEating', 0.9545984501560456)","('23childEating', 0.9545984501560456)","('70tv', 0.9829037733849085)","('70tv', 0.9828879035978816)","('70tv', 0.9828879035978816)","('44kayak', 0.9719788893600602)","('15bowling', 0.9714292789591122)","('36gardening', 0.8127266993023032)","('36gardening', 0.820918220703042)","('59pizza', 0.8700711551692506)","('21cheese', 0.83882562919536)"
