,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('rubberduck (2).jpg', 1.3317942938034986)","('rubberduck (2).jpg', 1.3301568147794833)","('rubberduck (2).jpg', 1.3301568147794833)","('tennisball (2).jpg', 1.148741980712648)","('tennisball (2).jpg', 1.148736204262447)","('tennisball (2).jpg', 1.148736204262447)","('carpet (2).jpg', 1.1996697664796865)","('carpet (2).jpg', 1.2311823156376442)","('carpet (2).jpg', 3.8547255156492324)","('carpet (2).jpg', 3.9871199941806568)","('carpet (2).jpg', 4.106064853588296)","('carpet (2).jpg', 4.051567507213816)"
1,"('highchair (2).jpg', 1.0000096725620395)","('pants (2).jpg', 1.281410178236886)","('pants (2).jpg', 1.2807624105439515)","('pants (2).jpg', 1.2807624105439515)","('pants (2).jpg', 1.1353925469185546)","('pants (2).jpg', 1.135375413597578)","('pants (2).jpg', 1.135375413597578)","('remotecontrol (2).jpg', 1.1852189940195803)","('remotecontrol (2).jpg', 1.2202869806137024)","('remotecontrol (2).jpg', 3.130436519956514)","('remotecontrol (2).jpg', 3.3294860380691174)","('burger (2).jpg', 3.0797735603994782)","('remotecontrol (2).jpg', 3.1896823326250012)"
2,"('tent (2).jpg', 1.0000095331866181)","('beachball (2).jpg', 1.271914715796979)","('beachball (2).jpg', 1.2704723603825974)","('beachball (2).jpg', 1.2704723603825974)","('carpet (2).jpg', 1.1223174138130585)","('carpet (2).jpg', 1.1222981645793202)","('carpet (2).jpg', 1.1222981645793202)","('lipstick (2).jpg', 1.1724251539307013)","('lipstick (2).jpg', 1.1976939193807625)","('lipstick (2).jpg', 2.541245556539964)","('lipstick (2).jpg', 2.6473195193922066)","('remotecontrol (2).jpg', 2.8932833151795148)","('burger (2).jpg', 3.0678085206679606)"
3,"('dresser (2).jpg', 1.0000095331866181)","('fries (2).jpg', 1.2644051272886567)","('fries (2).jpg', 1.2607083371523646)","('fries (2).jpg', 1.2607083371523646)","('rubberduck (2).jpg', 1.1155950185535526)","('rubberduck (2).jpg', 1.1155931105072916)","('rubberduck (2).jpg', 1.1155931105072916)","('pants (2).jpg', 1.1664935477542506)","('pants (2).jpg', 1.1969894162273598)","('burger (2).jpg', 2.4418647235136772)","('burger (2).jpg', 2.467856541128691)","('pizza (2).jpg', 2.893114413362988)","('cow (2).jpg', 3.0574332759387564)"
4,"('footballball (2).jpg', 1.0000095331866181)","('tennisball (2).jpg', 1.2483089517455066)","('tennisball (2).jpg', 1.244203079965234)","('tennisball (2).jpg', 1.244203079965234)","('fries (2).jpg', 1.1121980301190275)","('fries (2).jpg', 1.11222586494096)","('fries (2).jpg', 1.11222586494096)","('rubberduck (2).jpg', 1.1596119299821743)","('beachball (2).jpg', 1.1825118961090588)","('bag (2).jpg', 2.3782013395505364)","('bag (2).jpg', 2.385239535658556)","('cow (2).jpg', 2.847285720543343)","('pizza (2).jpg', 2.8376982248995315)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('cow (2).jpg', 1.2229616366269669)","('cow (2).jpg', 1.2229251571354804)","('cow (2).jpg', 1.2229251571354804)","('remotecontrol (2).jpg', 1.111637486397517)","('remotecontrol (2).jpg', 1.1116365556851038)","('remotecontrol (2).jpg', 1.1116365556851038)","('beachball (2).jpg', 1.1558543899763256)","('rubberduck (2).jpg', 1.181592126957552)","('pants (2).jpg', 2.275651312333455)","('pants (2).jpg', 2.3634572736214734)","('television (2).jpg', 2.372170343291096)","('television (2).jpg', 2.5332823468994623)"
6,"('stroller (2).jpg', 1.0000095331866181)","('cone (2).jpg', 1.209407416031129)","('cone (2).jpg', 1.2090552468065443)","('cone (2).jpg', 1.2090552468065443)","('beachball (2).jpg', 1.1084697050979433)","('beachball (2).jpg', 1.1084607359160987)","('beachball (2).jpg', 1.1084607359160987)","('chicken (2).jpg', 1.1553021016266316)","('chicken (2).jpg', 1.1763733422048706)","('pizza (2).jpg', 2.2624174564588855)","('crib (2).jpg', 2.3559179562250026)","('backhoe (2).jpg', 2.3020961926198167)","('fries (2).jpg', 2.4317673581883623)"
7,"('bike (2).jpg', 1.0000095331866181)","('pallette (2).jpg', 1.2092978892044708)","('pallette (2).jpg', 1.2074180844780238)","('pallette (2).jpg', 1.2074180844780238)","('bag (2).jpg', 1.1065580432383573)","('bag (2).jpg', 1.1065551966311715)","('bag (2).jpg', 1.1065551966311715)","('bag (2).jpg', 1.1527700867538488)","('burger (2).jpg', 1.1730133475324225)","('crib (2).jpg', 2.2497463464806584)","('pizza (2).jpg', 2.287465745634108)","('motorcycle (2).jpg', 2.2985325049707086)","('fridge (2).jpg', 2.330249363828059)"
8,"('sippycup (2).jpg', 1.0000094649943658)","('carpet (2).jpg', 1.2023297786943394)","('carpet (2).jpg', 1.2008853724165869)","('carpet (2).jpg', 1.2008853724165869)","('bike (2).jpg', 1.1043483013900768)","('bike (2).jpg', 1.1043441512178518)","('bike (2).jpg', 1.1043441512178518)","('burger (2).jpg', 1.1526182614480318)","('bag (2).jpg', 1.172919914864518)","('trafficlight (2).jpg', 2.2400284535971897)","('television (2).jpg', 2.272599762475392)","('fries (2).jpg', 2.2921544166997445)","('rolette (2).jpg', 2.329487600035811)"
9,"('ovenmitt (2).jpg', 1.0000094649943658)","('burger (2).jpg', 1.1968170478882765)","('burger (2).jpg', 1.1959825853085557)","('burger (2).jpg', 1.1959825853085557)","('pizza (2).jpg', 1.1020654477689142)","('pizza (2).jpg', 1.1020556160877637)","('pizza (2).jpg', 1.1020556160877637)","('bike (2).jpg', 1.1482013495596606)","('bike (2).jpg', 1.169634920280029)","('television (2).jpg', 2.2380878502622794)","('trafficlight (2).jpg', 2.2617317564254726)","('rolette (2).jpg', 2.291043675847626)","('motorcycle (2).jpg', 2.309489947612824)"
