,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('bike', 1.0802122136428434)","('coat', 1.0742790456898537)","('coat', 1.0742790476756652)","('coat', 1.0742790476756652)","('rearview_mirror', 1.2272398185777385)","('board', 1.1452547185699309)","('seashell', 1.2746531663084317)","('seashell', 1.070983043457432)","('seashell', 1.007970459855127)"
1,"('rearview_mirror', 1.0739351839257547)","('fridge', 1.0637715370761927)","('fridge', 1.063771538952355)","('fridge', 1.063771538952355)","('fridge', 1.1274867631933352)","('excersiceequipment', 1.11961769352655)","('tub', 1.2065758550520531)","('rearview_mirror', 1.0377747487034399)","('rearview_mirror', 1.0077258101637059)"
2,"('bag', 1.0713070942858414)","('coffeetable', 1.0477245495163978)","('coffeetable', 1.0477245509151942)","('coffeetable', 1.0477245509151942)","('boxing_gloves', 1.1221572410837255)","('cheese', 1.116325831825288)","('toiletseat', 1.17976703680056)","('tub', 1.0349760641257675)","('medal', 1.0075320007093629)"
3,"('coat', 1.0677712183892856)","('bathrobe', 1.0443934547055425)","('bathrobe', 1.044393455946907)","('bathrobe', 1.044393455946907)","('cheese', 1.1128573228505592)","('tub', 1.1125067443035395)","('doll', 1.1645617283497305)","('sleepingbag', 1.0336268849500128)","('sleepingbag', 1.0051655541338842)"
4,"('pokerchips', 1.064557611234384)","('cheese', 1.0388948585712319)","('cheese', 1.0388948597285916)","('cheese', 1.0388948597285916)","('board', 1.1087150979908673)","('rearview_mirror', 1.1123215082737428)","('rearview_mirror', 1.1547971089200015)","('boxing_gloves', 1.0325806647097198)","('mailbox', 1.0047283090240997)"
5,"('bathrobe', 1.0561401626024416)","('excersiceequipment', 1.0361821978193613)","('excersiceequipment', 1.0362273058136529)","('excersiceequipment', 1.0362273058136529)","('doll', 1.0931460917941975)","('fridge', 1.1088928975532644)","('lego', 1.15442207358102)","('backhoe', 1.0302077599482617)","('nail', 1.0046044363574644)"
6,"('dishrack', 1.054954318611395)","('maplesyrup', 1.034371982288772)","('maplesyrup', 1.0343719832599074)","('maplesyrup', 1.0343719832599074)","('bike', 1.0928446790649393)","('coffeetable', 1.100939445822047)","('coffeemaker', 1.1445753306728546)","('racket', 1.0214352724350275)","('doll', 1.0045032104322944)"
7,"('toiletseat', 1.0513830632356114)","('trafficlight', 1.0336592480036928)","('trafficlight', 1.0336592489064742)","('trafficlight', 1.0336592489064742)","('footballball', 1.083211007869135)","('lego', 1.0944772145350177)","('ovenmitt', 1.0994591512674987)","('maplesyrup', 1.0213027740498615)","('highchair', 1.0042259576988217)"
8,"('ovenmitt', 1.049295596220676)","('ovenmitt', 1.0294018398064748)","('ovenmitt', 1.0294018407821608)","('ovenmitt', 1.0294018407821608)","('trafficlight', 1.079476495440899)","('scissors', 1.0939999335758581)","('chicken', 1.0910423143521855)","('sushi', 1.0197308138488157)","('television', 1.0035007451917881)"
9,"('coffeetable', 1.0490450844925236)","('television', 1.0286495233941997)","('television', 1.0286495241699458)","('television', 1.0286495241699458)","('lego', 1.0730229910275655)","('toiletseat', 1.0933899138128653)","('excersiceequipment', 1.0803345589277342)","('kayak', 1.0190062760112282)","('fridge', 1.0033775337878652)"
