,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('sleepingbag', 0.8713701683237188)","('mailbox', 0.9366758643677163)","('mailbox', 0.9367182545124694)","('mailbox', 0.9367182545124694)","('sleepingbag', 0.7654113583937148)","('chicken', 0.7861626706782858)","('tractor', 0.6577626778863969)","('tractor', 0.9580618798511928)","('tractor', 0.9853780774147815)"
1,"('golfcart', 0.932766543139955)","('sleepingbag', 0.9410595639916707)","('sleepingbag', 0.9410623721085527)","('sleepingbag', 0.9410623721085527)","('golfcart', 0.8591599662507391)","('sleepingbag', 0.8213317132303514)","('golfcart', 0.8285062775054064)","('horse', 0.9583392708055142)","('horse', 0.9903470362625372)"
2,"('seashell', 0.9396562857564599)","('golfcart', 0.9479441994379796)","('golfcart', 0.947975463561807)","('golfcart', 0.947975463561807)","('sushi', 0.8635507418575572)","('bag', 0.8368839849149621)","('toothbrush', 0.8352418865595044)","('coat', 0.9646782626676974)","('carpet', 0.991885325577805)"
3,"('beachball', 0.9473598929806891)","('sushi', 0.9532887799284036)","('sushi', 0.953288778563335)","('sushi', 0.953288778563335)","('seashell', 0.8922659021190645)","('kayak', 0.852468922606967)","('horse', 0.8365586691599514)","('carpet', 0.9711737522188492)","('scissors', 0.9937639102960399)"
4,"('nail', 0.9523285288735707)","('bowlingball', 0.9682859879602205)","('bowlingball', 0.9683002795248773)","('bowlingball', 0.9683002795248773)","('burger', 0.9019960139968793)","('golfcart', 0.8633363829557698)","('carpet', 0.8896634113193307)","('garbagebag', 0.9726994885715476)","('bathrobe', 0.9947403305582354)"
5,"('computer', 0.9643234476194568)","('seashell', 0.9782255165713876)","('seashell', 0.9782255153097926)","('seashell', 0.9782255153097926)","('pokerchips', 0.9169913506807598)","('seashell', 0.871780542531907)","('bike', 0.9270320061034909)","('coffeetable', 0.9796665337025634)","('toothbrush', 0.9949597917517813)"
6,"('bat', 0.9643855795589412)","('toiletseat', 0.9782471480524003)","('toiletseat', 0.9782471480704815)","('toiletseat', 0.9782471480704815)","('bowlingball', 0.9252506749910169)","('medal', 0.8924335951654939)","('fridge', 0.9296636065932835)","('bat', 0.9886123797593027)","('coffeetable', 0.9950991408048611)"
7,"('racket', 0.9644378685419114)","('bat', 0.9816565389904163)","('bat', 0.9816313147604139)","('bat', 0.9816313147604139)","('chicken', 0.9258931890322648)","('backhoe', 0.8993276286867867)","('racket', 0.9415354723868008)","('bag', 0.9898067698548512)","('board', 0.995798934802937)"
8,"('beachumbrella', 0.9680659640066062)","('garbagebag', 0.9830241622133327)","('garbagebag', 0.9830241617755313)","('garbagebag', 0.9830241617755313)","('nail', 0.9418127839010455)","('mailbox', 0.9012764792149862)","('trafficlight', 0.9473170565816427)","('fridge', 0.990718183691604)","('bike', 0.9961048076536644)"
9,"('bowlingball', 0.9778880256257467)","('chicken', 0.983046992630142)","('chicken', 0.9830469918704613)","('chicken', 0.9830469918704613)","('mailbox', 0.9431193018148653)","('burger', 0.9103137817069935)","('bat', 0.9524832002644047)","('television', 0.9911936172893533)","('trafficlight', 0.996551340463392)"
