,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed
0,AlexNet_Places365,0,0.999999967883564,0.9967184595938046,0.9971368363512252,7.726045220043264e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.474405237991654,True
1,AlexNet_Places365,1,1.028073559828125,0.000542480709077413,0.00018836642562698557,0.007687786129866492,1.0814154911989664,3.95078386601297e-31,3.6052001841557157e-34,0.005390273040982691,1.6009351312014952e-06,True
2,AlexNet_Places365,2,1.0276511479558414,0.0006193165956441696,0.00022047746138929709,0.007658373893237695,1.0807863148060879,5.159738881368853e-31,4.679144844524356e-34,0.005365021403982928,1.4054888109031944e-06,True
3,AlexNet_Places365,3,1.0276511479558414,0.0006193165956441696,0.00022047746138929709,0.007658373893237695,1.0807863148060879,5.159738881368853e-31,4.679144844524356e-34,0.005365021403982928,1.4054888109031944e-06,True
4,AlexNet_Places365,4,1.012805339832968,0.0005142645636272643,0.0003399425509554078,0.0034908860670393492,1.0529030242566197,3.1314778179981466e-45,3.4832774578746006e-46,0.0025112254037434885,1.761480049555741e-12,True
5,AlexNet_Places365,5,1.012802523703805,0.0005149610043967851,0.0003404367486981725,0.0034905159260713334,1.0528982189473906,3.1328222636654886e-45,3.48163340024879e-46,0.0025110073706453464,1.7491881102920145e-12,True
6,AlexNet_Places365,6,1.012802523703805,0.0005149610043967851,0.0003404367486981725,0.0034905159260713334,1.0528982189473906,3.1328222636654886e-45,3.48163340024879e-46,0.0025110073706453464,1.7491881102920145e-12,True
7,AlexNet_Places365,7,1.0171500259724828,0.0010158168927069764,0.0005916931322325817,0.004964619942285199,1.082550304478303,1.0659384305092516e-53,1.2944681729795012e-54,0.003288778149122119,2.1321435396202236e-15,True
8,AlexNet_Places365,8,1.0194726035218533,0.0007343746871847518,0.000420944839777744,0.005474040521280561,1.0941857843475193,2.3813189032944e-53,1.8211186585301977e-54,0.0037786281314506763,1.0950335705329305e-15,True
9,AlexNet_Places365,9,1.0980574183399987,0.0015607588958661716,0.000314031577202893,0.029575556533196053,1.650316578575502,3.096214512926973e-45,7.152753776331466e-59,0.0308662651992664,2.6120933131656645e-13,True
10,AlexNet_Places365,10,1.0972214109106768,0.002308014805150714,0.0004550595596609958,0.03051724527565451,1.6767475187542575,1.5033730322816066e-44,1.271190901557883e-58,0.03260006541531887,2.8943614296528037e-13,True
11,AlexNet_Places365,11,1.133474953128895,2.013636916735541e-05,5.002377008002625e-06,0.028976163999050564,1.6718111226126202,1.2187100028603464e-47,2.827597656192861e-63,0.030297837089050983,4.788423969166665e-14,True
12,AlexNet_Places365,12,1.1384394938814741,2.0635256597456e-05,5.298622962759031e-06,0.03009778106775299,1.7083822577848224,6.659605380255896e-48,5.455320988105739e-62,0.031771732648906446,1.3412090633133989e-14,True
