,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('rearview_mirror (2).jpg', 0.9663498150673254)","('rearview_mirror (2).jpg', 0.9663498150673254)","('chopsticks (2).jpg', 0.9791565175200996)","('nail (2).jpg', 1.016204276690451)","('nail (2).jpg', 1.016204276690451)","('rainboots (2).jpg', 0.9878130433121662)","('chair (2).jpg', 1.0169119877396016)","('chair (2).jpg', 1.0169119877396016)","('boxing_gloves (2).jpg', 1.019161672141406)","('chair (2).jpg', 1.008724432816551)","('sippycup (2).jpg', 0.9871698858887282)","('chair (2).jpg', 0.959197793927276)","('excersiceequipment (2).jpg', 0.9865968907851334)","('excersiceequipment (2).jpg', 0.9865968907851334)","('excersiceequipment (2).jpg', 0.9413143801523114)","('dresser (2).jpg', 0.7205267152234436)","('television (2).jpg', 0.9796979777008872)","('can (2).jpg', -0.08114719363093753)"
1,"('basketball (2).jpg', 0.9997396363836301)","('highchair (2).jpg', 0.9663569932246676)","('highchair (2).jpg', 0.9663569932246676)","('helmet (2).jpg', 0.9891410628665592)","('ovenmitt (2).jpg', 1.0176506703920978)","('ovenmitt (2).jpg', 1.0176506703920978)","('washer (2).jpg', 1.0070481466784065)","('rainboots (2).jpg', 1.0238132621504688)","('rainboots (2).jpg', 1.0238132621504688)","('sippycup (2).jpg', 1.0430928974647895)","('boxing_gloves (2).jpg', 1.0117759605098329)","('chair (2).jpg', 0.992424484802909)","('basketballrim (2).jpg', 1.0080256025993384)","('chair (2).jpg', 0.9883645028160457)","('chair (2).jpg', 0.9883645028160457)","('garbagebag (2).jpg', 0.9611721366781367)","('cheesegrater (2).jpg', 0.815450617283966)","('fishbowl (2).jpg', 0.9919247249619358)","('chair (2).jpg', 0.0691297330178485)"
2,"('fries (2).jpg', 1.0)","('helmet (2).jpg', 0.9732564241475377)","('helmet (2).jpg', 0.9732564241475377)","('bat (2).jpg', 0.9978263525355416)","('balloon (2).jpg', 1.0211251076312449)","('balloon (2).jpg', 1.0211251076312449)","('balloon (2).jpg', 1.010443643641283)","('balloon (2).jpg', 1.0336130375629047)","('balloon (2).jpg', 1.0336130375629047)","('footballball (2).jpg', 1.043927536157728)","('basketballrim (2).jpg', 1.0140002563179316)","('rainboots (2).jpg', 0.9979622852519001)","('excersiceequipment (2).jpg', 1.0171400841368952)","('golfclubs (2).jpg', 1.014862857886105)","('golfclubs (2).jpg', 1.014862857886105)","('toiletseat (2).jpg', 0.9915304741904243)","('basketballrim (2).jpg', 0.8271068961125964)","('fridge (2).jpg', 0.9924010086441264)","('wheelbarrow (2).jpg', 0.10300033066197115)"
3,"('burger (2).jpg', 1.0)","('garbagebag (2).jpg', 0.9793401538679848)","('garbagebag (2).jpg', 0.9793401538679848)","('umbrella (2).jpg', 1.0019871475512652)","('washer (2).jpg', 1.0238476649137072)","('washer (2).jpg', 1.0238476649137072)","('chair (2).jpg', 1.0206508552989)","('ovenmitt (2).jpg', 1.051711035316576)","('ovenmitt (2).jpg', 1.051711035316576)","('pokerchips (2).jpg', 1.0479701415430662)","('sippycup (2).jpg', 1.0212570597485184)","('cow (2).jpg', 1.0006085259345396)","('rainboots (2).jpg', 1.0177777246545086)","('birdcage (2).jpg', 1.0209094933377056)","('birdcage (2).jpg', 1.0209094933377056)","('bullet (2).jpg', 0.9938629424239956)","('chopsticks (2).jpg', 0.8615379052247336)","('cheesegrater (2).jpg', 0.9929383527110314)","('helmet (2).jpg', 0.17026279542820327)"
4,"('cow (2).jpg', 1.0)","('chopsticks (2).jpg', 0.9799751207271926)","('chopsticks (2).jpg', 0.9799751207271926)","('dishrack (2).jpg', 1.0053019652522763)","('dustpan (2).jpg', 1.0310151023460525)","('dustpan (2).jpg', 1.0310151023460525)","('ovenmitt (2).jpg', 1.0285617232769804)","('sippycup (2).jpg', 1.0549275507651932)","('sippycup (2).jpg', 1.0549275507651932)","('cake (2).jpg', 1.0575384778636938)","('cow (2).jpg', 1.0339628352730272)","('birdcage (2).jpg', 1.0169452039160078)","('birdcage (2).jpg', 1.0255684190393468)","('laundry (2).jpg', 1.0296604147902524)","('laundry (2).jpg', 1.0296604147902524)","('birdcage (2).jpg', 0.9999401965735877)","('coffeemaker (2).jpg', 0.8882460465404187)","('beachball (2).jpg', 0.99377794399824)","('footballball (2).jpg', 0.22939355938542036)"
5,"('chicken (2).jpg', 1.0)","('cart (2).jpg', 0.9846465392328265)","('cart (2).jpg', 0.9846465392328265)","('dresser (2).jpg', 1.0061792474096725)","('stove (2).jpg', 1.0356063215066307)","('stove (2).jpg', 1.0356063215066307)","('desk (2).jpg', 1.0352524590570342)","('cheesegrater (2).jpg', 1.0685189168267308)","('cheesegrater (2).jpg', 1.0685189168267308)","('rainboots (2).jpg', 1.060184983619499)","('rainboots (2).jpg', 1.0350142326342493)","('basketballrim (2).jpg', 1.0194134593675304)","('anchor2.jpg', 1.0272256933361255)","('pot (2).jpg', 1.044419838038168)","('pot (2).jpg', 1.044419838038168)","('dresser (2).jpg', 1.0013372146674884)","('anchor2.jpg', 0.905048650030819)","('chair (2).jpg', 0.9955520178275671)","('tub (2).jpg', 0.23665417689438328)"
6,"('tennisball (2).jpg', 1.0000081872830517)","('bat (2).jpg', 0.986557297768539)","('bat (2).jpg', 0.986557297768539)","('dustpan (2).jpg', 1.0064530020073645)","('rearview_mirror (2).jpg', 1.046659326905165)","('rearview_mirror (2).jpg', 1.046659326905165)","('nail (2).jpg', 1.041308477651561)","('trophy (2).jpg', 1.069344340201214)","('trophy (2).jpg', 1.069344340201214)","('laundry (2).jpg', 1.066101920230819)","('footballball (2).jpg', 1.0411676862028827)","('excersiceequipment (2).jpg', 1.0287046363799646)","('printer (2).jpg', 1.0310054398399406)","('rainboots (2).jpg', 1.0448512386907174)","('rainboots (2).jpg', 1.0448512386907174)","('dustpan (2).jpg', 1.0014240724996817)","('lock (2).jpg', 0.9068866881732368)","('makeup (2).jpg', 0.9960419594083612)","('fishbowl (2).jpg', 0.244666216044739)"
7,"('bowlingpin (2).jpg', 1.0000081872830517)","('punchingbag (2).jpg', 0.9916348797351493)","('punchingbag (2).jpg', 0.9916348797351493)","('stove (2).jpg', 1.0077231297037397)","('umbrella (2).jpg', 1.0507596118114895)","('umbrella (2).jpg', 1.0507596118114895)","('dustpan (2).jpg', 1.0433994878049977)","('boxing_gloves (2).jpg', 1.0728686995216041)","('boxing_gloves (2).jpg', 1.0728686995216041)","('pot (2).jpg', 1.0725927453169064)","('printer (2).jpg', 1.0437363013435945)","('dresser (2).jpg', 1.0304237429896088)","('chair (2).jpg', 1.0321698755009656)","('garbagebag (2).jpg', 1.047978456793829)","('garbagebag (2).jpg', 1.047978456793829)","('nail (2).jpg', 1.0026643630333258)","('chair (2).jpg', 0.9200207590506423)","('lego (2).jpg', 0.9961222448596188)","('computer (2).jpg', 0.26176234906721635)"
8,"('helmet (2).jpg', 1.0000081872830517)","('wheelbarrow (2).jpg', 0.9974202971686823)","('wheelbarrow (2).jpg', 0.9974202971686823)","('bowlingpin (2).jpg', 1.0127638447486906)","('garbagebag (2).jpg', 1.052129622120771)","('garbagebag (2).jpg', 1.052129622120771)","('printer (2).jpg', 1.043969753003895)","('seashell (2).jpg', 1.0733584820028101)","('seashell (2).jpg', 1.0733584820028101)","('sushi (2).jpg', 1.0729906176804513)","('cheesegrater (2).jpg', 1.046650232944507)","('chair (2).jpg', 1.0304978141418162)","('garbagebag (2).jpg', 1.0331621845128036)","('cow (2).jpg', 1.0492244987268762)","('cow (2).jpg', 1.0492244987268762)","('golfclubs (2).jpg', 1.0042972584817205)","('bed (2).jpg', 0.9352683006070998)","('lock (2).jpg', 0.9966919402353697)","('slippers (2).jpg', 0.30860822284662576)"
9,"('bat (2).jpg', 1.0000081872830517)","('board (2).jpg', 0.9986231695878516)","('board (2).jpg', 0.9986231695878516)","('desk (2).jpg', 1.014149931650201)","('printer (2).jpg', 1.0538909282315958)","('printer (2).jpg', 1.0538909282315958)","('coat (2).jpg', 1.045248928360463)","('footballball (2).jpg', 1.0757966834499924)","('footballball (2).jpg', 1.0757966834499924)","('chair (2).jpg', 1.078313545433499)","('seashell (2).jpg', 1.0470621078735614)","('garbagebag (2).jpg', 1.0329487633920618)","('parrot (2).jpg', 1.0382371396468328)","('sippycup (2).jpg', 1.053027253909272)","('sippycup (2).jpg', 1.053027253909272)","('basketballrim (2).jpg', 1.0068163063215543)","('birdcage (2).jpg', 0.940065084073812)","('pokerchips (2).jpg', 0.9980130068804748)","('tableset (2).jpg', 0.3241091428373602)"
