,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed
0,AlexNet,0,0.9999999690994367,0.9967528011023019,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.42539012584685376,0.42437760882248077,4.239378711188689e-06,0.4743247034990712,True
1,AlexNet,1,1.1281091986027327,9.068000029994303e-05,4.475965229775036e-06,0.030674432242503966,1.3559257732171432,1.241766849088971e-26,7.131512147755276e-37,0.026866750937301415,1.1276612029717527e-06,True
2,AlexNet,2,1.1290348544805517,0.00013430449992379826,6.012156431443048e-06,0.031756432786010834,1.3605779381418426,1.6671977272924314e-26,5.7279397687515365e-37,0.027319011954578743,1.1721547587273476e-06,True
3,AlexNet,3,1.1290348544805517,0.00013430449992379826,6.012156431443048e-06,0.031756432786010834,1.3605779381418426,1.6671977272924314e-26,5.7279397687515365e-37,0.027319011954578743,1.1721547587273476e-06,True
4,AlexNet,4,1.1158436916813168,0.00010260211993834806,1.0711993006921543e-05,0.02797475018162816,1.5256761500596057,8.304739603479682e-45,1.563829036980999e-52,0.025486147661940538,1.7145093116242458e-14,True
5,AlexNet,5,1.1152440704817155,0.00017156294175210126,1.5627201338521628e-05,0.028869669335045343,1.5348271072099773,1.8501211850947962e-44,1.7167300715030718e-52,0.026122840306663505,1.848946683518702e-14,True
6,AlexNet,6,1.1152440704817155,0.00017156294175210126,1.5627201338521628e-05,0.028869669335045343,1.5348271072099773,1.8501211850947962e-44,1.7167300715030718e-52,0.026122840306663505,1.848946683518702e-14,True
7,AlexNet,7,1.1168199814564541,9.492512885615971e-05,1.5904381798512096e-05,0.028059331968740903,1.6813183359819315,5.417152123761432e-51,1.6378640345196544e-61,0.029072798170480134,2.801433975218079e-17,True
8,AlexNet,8,1.1202037390288975,9.942250975344442e-05,1.5523788936593447e-05,0.028964423011345303,1.7064658037180658,9.336983379925101e-51,5.369528316849838e-61,0.030289374386586167,2.6676027461851016e-17,True
9,AlexNet,9,1.189053134110686,4.1231272847085934e-05,3.7557871976869447e-06,0.042978282362609865,2.166651714549397,2.6878046090004486e-33,1.6176930379791194e-65,0.07365270908964344,1.2847719814864395e-11,True
10,AlexNet,10,1.190477040597885,5.956808444632702e-05,5.0291243599466845e-06,0.044341106508428145,2.198108735284833,3.744428529037947e-36,1.6274819906713134e-65,0.07054495049151115,1.4193350950293593e-12,True
11,AlexNet,11,1.2451869947572471,6.363751271784431e-05,5.80076601625865e-06,0.05732587774940718,2.4698051848629907,6.715383501948881e-41,1.1961965943290625e-72,0.07758493257375221,5.313200716746936e-16,True
12,AlexNet,12,1.2582973983819212,6.8604220900529e-05,7.367409887642537e-06,0.06069280070683191,2.6236205504735484,6.2633777378223196e-43,1.690032029923595e-72,0.08196027890705701,3.9808990007758106e-16,True
