,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,Vgg16,0,1.0000015532196633,0.8046411674315926,0.804145775305996,6.211592705344172e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.5230442595956245
1,Vgg16,1,1.0101557447237495,4.029630360854512e-12,3.531624217714392e-12,0.0012067378049371014,1.0148867782595397,2.2189094021768936e-26,9.831805711023278e-27,0.0011247175741707415,8.03622703172534e-05
2,Vgg16,2,1.0100374113367483,4.211074869608074e-12,3.673288449338209e-12,0.0011941614313601312,1.0147397906951976,2.2398960825565955e-26,9.930049953932256e-27,0.0011137463274749678,6.933191356643603e-05
3,Vgg16,3,1.0472856052793535,2.948193274837456e-12,9.108970013904748e-13,0.005569500703072969,1.0725185191363988,9.96691751231242e-31,1.0354631823978633e-32,0.00485261387458203,5.132109479106505e-05
4,Vgg16,4,1.0472828857941971,2.90585833520362e-12,9.043281201690679e-13,0.005566927173224437,1.0725228058393763,1.0029512571177843e-30,1.0363566263473214e-32,0.004853251681201559,5.127173803398479e-05
5,Vgg16,5,1.0472828857941971,2.90585833520362e-12,9.043281201690679e-13,0.005566927173224437,1.0725228058393763,1.0029512571177843e-30,1.0363566263473214e-32,0.004853251681201559,5.127173803398479e-05
6,Vgg16,6,1.0924882991143057,6.533519042543137e-13,1.308757034081737e-14,0.010452494146259452,1.1398440637944103,1.4161700440704867e-29,8.962082530239044e-35,0.009652616863036565,0.0002015684699316528
7,Vgg16,7,1.0924864730045485,6.527404802708525e-13,1.3096169380883525e-14,0.01045202443975928,1.139849805581486,1.4081638168331937e-29,8.917888192731748e-35,0.00965236553249552,0.00020143015065068336
8,Vgg16,8,1.1428151125132961,2.1819646089242257e-15,1.9102913773493316e-16,0.013976821915704296,1.231457175806365,5.0167310615580105e-31,2.1986886074500868e-40,0.015366117345187754,9.190323623295571e-06
9,Vgg16,9,1.1428151125132961,2.1819646089242257e-15,1.9102913773493316e-16,0.013976821915704296,1.231457175806365,5.0167310615580105e-31,2.1986886074500868e-40,0.015366117345187754,9.190323623295571e-06
10,Vgg16,10,1.1428151125132961,2.1819646089242257e-15,1.9102913773493316e-16,0.013976821915704296,1.231457175806365,5.0167310615580105e-31,2.1986886074500868e-40,0.015366117345187754,9.190323623295571e-06
11,Vgg16,11,1.106448948928465,6.953161665378584e-19,3.329175449027104e-19,0.008709416428616366,1.1826014183783289,4.0384981068830176e-45,9.376124994349806e-49,0.008688439814153634,1.3878372644844886e-09
12,Vgg16,12,1.1064080663012965,7.010294121003845e-19,3.353999742605748e-19,0.008707563474911743,1.1825394022850357,4.236946433609787e-45,9.920035963786345e-49,0.008689386451424672,1.3932345908779353e-09
13,Vgg16,13,1.1043628934136835,2.454746666953198e-18,6.9014002359264915e-19,0.008769252716345278,1.1874671802101024,4.228481727490585e-49,5.7917918895246124e-52,0.008200916279391087,1.9675508720714974e-10
14,Vgg16,14,1.1043600051043239,2.4705953966277668e-18,6.938920113307451e-19,0.008770212237121882,1.1874689003462127,4.169552178977203e-49,5.717328784757132e-52,0.008199955480925288,1.9717688606655155e-10
15,Vgg16,15,1.1618023764912775,1.6015934203383061e-22,2.832315311096803e-22,0.01120277563207675,1.3025180930290308,1.8341607452539298e-54,1.07290792952641e-59,0.011870081466020484,3.060890361214136e-12
16,Vgg16,16,1.1618335255089032,1.574654959437477e-22,2.799165691505218e-22,0.011201310742267233,1.3025338036663732,1.8287329894056822e-54,1.0779586990614026e-59,0.011870394326510362,3.046654568553324e-12
17,Vgg16,17,1.1618335255089032,1.574654959437477e-22,2.799165691505218e-22,0.011201310742267233,1.3025338036663732,1.8287329894056822e-54,1.0779586990614026e-59,0.011870394326510362,3.046654568553324e-12
18,Vgg16,18,1.2158760065348713,2.8755705331212864e-26,3.5858717890017306e-26,0.012756434320060137,1.4107834653463052,2.142724960493031e-53,2.684930415328237e-60,0.01646504586465758,5.986201449486238e-12
