,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('beachpail', 0.8729528419524677)","('golfclubs', 0.9327233945783073)","('golfclubs', 0.9328038933308392)","('golfclubs', 0.9328038933308392)","('tent', 0.742315247951903)","('tent', 0.7855844583773003)","('wheelbarrow', 0.6551018270475107)","('wheelbarrow', 0.9378785429985516)","('saddle', 0.9870623688554329)"
1,"('tent', 0.8879767092163882)","('bowlingpin', 0.9410183428006427)","('bowlingpin', 0.9410183411962426)","('bowlingpin', 0.9410183411962426)","('golfclubs', 0.8621383093843777)","('cow', 0.8020892252065802)","('lifejacket', 0.72503563064424)","('saddle', 0.9631827874857308)","('wheelbarrow', 0.9871895783804804)"
2,"('cart', 0.8995511951850841)","('remotecontrol', 0.9421671839856479)","('remotecontrol', 0.9421673817848778)","('remotecontrol', 0.9421673817848778)","('chopsticks', 0.8694372794174405)","('hammer', 0.8545367321295249)","('saddle', 0.7973211491647714)","('lifejacket', 0.9741200555363251)","('lifejacket', 0.9909570244304625)"
3,"('golfclubs', 0.9034717767700633)","('tent', 0.9432442110464582)","('tent', 0.9432442088576687)","('tent', 0.9432442088576687)","('fries', 0.8743189453651007)","('cone', 0.8557835470579228)","('roadsign', 0.8045488667327744)","('cutter', 0.9750763961139964)","('slippers', 0.9918672679582902)"
4,"('lifejacket', 0.9308643863837813)","('hammer', 0.9523825167743799)","('hammer', 0.9523519350399009)","('hammer', 0.9523519350399009)","('rolette', 0.9071094604235981)","('remotecontrol', 0.8613990800588998)","('motorhelmet', 0.8520029652267684)","('remotecontrol', 0.9752809202696663)","('helmet', 0.9937900186939184)"
5,"('beachchair', 0.9340845474680438)","('cone', 0.9555396034892131)","('cone', 0.9555396021085159)","('cone', 0.9555396021085159)","('lamp', 0.9095437620406966)","('golfclubs', 0.8660654835608247)","('trophy', 0.8614824991504736)","('lamp', 0.9764004829433363)","('beachchair', 0.9939890008621106)"
6,"('rubberduck', 0.9353535307534357)","('garbagebin', 0.9591998379084328)","('garbagebin', 0.9591998368916504)","('garbagebin', 0.9591998368916504)","('starfish', 0.913981075906904)","('garbagebin', 0.8827078345744424)","('tent', 0.8826196353818287)","('barbie', 0.9777382571916062)","('helmet', 0.9943539282841923)"
7,"('bowlingpin', 0.952388017656455)","('coffeecup', 0.9706544736044489)","('coffeecup', 0.9706544728323429)","('coffeecup', 0.9706544728323429)","('cow', 0.9202963242145744)","('fries', 0.8925852426024391)","('helmet', 0.8889966820061791)","('vacuum', 0.978619483167839)","('sofa', 0.9943626499083945)"
8,"('toothpaste', 0.955470105425558)","('chopsticks', 0.9731108739900827)","('chopsticks', 0.9731108732088474)","('chopsticks', 0.9731108732088474)","('bowlingpin', 0.933695636747239)","('starfish', 0.8939454549758802)","('pancake', 0.9014818946560896)","('motorhelmet', 0.9803605587104188)","('toothpaste', 0.9946584227723272)"
9,"('starfish', 0.9573366413539754)","('starfish', 0.9739826731219046)","('starfish', 0.9739826717986425)","('starfish', 0.9739826717986425)","('hammer', 0.9510088949499176)","('lifejacket', 0.9031143700404952)","('helmet', 0.9202680936203613)","('helmet', 0.9808138046058659)","('cone', 0.995797980657815)"
