,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('steering_wheel', 1.0960941414630192)","('coatrack', 1.0724456620075509)","('coatrack', 1.0724456642545501)","('coatrack', 1.0724456642545501)","('rubberduck', 1.1330884349934516)","('rubberduck', 1.2352270525205722)","('rubberduck', 1.299450623922669)","('starfish', 1.0647512961980856)","('steering_wheel', 1.0108236910134771)"
1,"('helmet', 1.0607681507172058)","('vacuum', 1.0550890925241634)","('vacuum', 1.0550350193316091)","('vacuum', 1.0550350193316091)","('stove', 1.1117871534189019)","('ironing', 1.1297455910965446)","('pot', 1.222312029718999)","('steering_wheel', 1.0404720395300016)","('train', 1.0093193669657983)"
2,"('coatrack', 1.0559870760705614)","('pants', 1.054421698494565)","('pants', 1.0544217000341305)","('pants', 1.0544217000341305)","('beachpail', 1.1024928176312025)","('coatrack', 1.1290543701698788)","('punchingbag', 1.215815885962955)","('ironing', 1.0374914110619076)","('starfish', 1.0085523578588003)"
3,"('slippers', 1.0550227472395015)","('tennisball', 1.0498181584846795)","('tennisball', 1.0498181599549208)","('tennisball', 1.0498181599549208)","('steering_wheel', 1.101024694856434)","('stove', 1.1126371800401504)","('starfish', 1.2120630351224828)","('chopsticks', 1.031642187616337)","('pot', 1.006354620281841)"
4,"('sink', 1.0549078561339547)","('rubberduck', 1.0437742076989163)","('rubberduck', 1.043774209080746)","('rubberduck', 1.043774209080746)","('coatrack', 1.0954575138725786)","('lamp', 1.1022712031355937)","('train', 1.2109042092632754)","('pot', 1.0260986651011044)","('stove', 1.0057105028510802)"
5,"('paper', 1.0540160890098673)","('pot', 1.0394776323717934)","('pot', 1.0394706104317444)","('pot', 1.0394706104317444)","('helmet', 1.0807571733166836)","('paper', 1.0900972765703756)","('ironing', 1.1515381338893955)","('punchingbag', 1.0206450148985582)","('parkingmeter', 1.0056328044200158)"
6,"('pot', 1.0521149826087282)","('helmet', 1.0335113092598114)","('helmet', 1.0335113102052729)","('helmet', 1.0335113102052729)","('pot', 1.0769942513299269)","('barbie', 1.0886615104189103)","('coffeecup', 1.1471644751142493)","('coatrack', 1.0174137509938563)","('pants', 1.005290392380148)"
7,"('dumbbell', 1.049262150984947)","('barbie', 1.03311462868236)","('barbie', 1.0331146298254186)","('barbie', 1.0331146298254186)","('vacuum', 1.0659307207569368)","('punchingbag', 1.0853538125744528)","('sink', 1.1350561616221426)","('sink', 1.0169627176723925)","('hammer', 1.005187327946967)"
8,"('fries', 1.0460673404265868)","('wheelbarrow', 1.0312414298817691)","('wheelbarrow', 1.031241043405599)","('wheelbarrow', 1.031241043405599)","('train', 1.057015728202159)","('vacuum', 1.0853236396549315)","('steering_wheel', 1.0924210401552161)","('beachpail', 1.0093405950616894)","('remotecontrol', 1.0048429224421764)"
9,"('cow', 1.0445520578221172)","('dumbbell', 1.030949843533845)","('dumbbell', 1.0309620308106002)","('dumbbell', 1.0309620308106002)","('barbie', 1.0526461783394279)","('stapler', 1.085057790309144)","('paper', 1.082437754505192)","('train', 1.0091894458952355)","('punchingbag', 1.004567449947447)"
