,ResNet50
0,"(0.7933407071726754, 0.03923251497450345)"
1,"(0.6481462780532348, 0.07260355419352521)"
2,"(0.6481058309294079, 0.07261789574805304)"
3,"(0.6481058309294079, 0.07261789574805304)"
4,"(0.6530103385382984, 0.0416218263755541)"
5,"(0.4758589857830791, 0.037947952914744405)"
6,"(0.14381321994029597, 0.03413380486922606)"
7,"(0.40566174018532697, 0.008287922195746079)"
8,"(0.8854106966849726, 0.004151514775011108)"
