,ResNet50
0,"(1.0181133319302853, 0.05143491370742527)"
1,"(1.0160250236953619, 0.09518460989134486)"
2,"(1.01604034960852, 0.095187170979726)"
3,"(1.01604034960852, 0.095187170979726)"
4,"(1.0113848823937255, 0.07463559080054907)"
5,"(1.0133837533987835, 0.08114206943756375)"
6,"(1.0191850010657837, 0.1840221342513779)"
7,"(1.001853076099482, 0.023497489026128544)"
8,"(1.0003386063966473, 0.003782325110812045)"
