,ResNet50
0,"(0.807960606673672, 0.008468879835479937)"
1,"(0.6562365489498131, 0.011215321644566631)"
2,"(0.6562052099684731, 0.011217020698234437)"
3,"(0.6562052099684731, 0.011217020698234437)"
4,"(0.659751997762271, 0.008008050170690813)"
5,"(0.48171439950981493, 0.007020993354282512)"
6,"(0.14587758465954972, 0.005983672316753065)"
7,"(0.40638102384257957, 0.0016341717353872802)"
8,"(0.8857118492526057, 0.0007852200136373692)"
