,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('steering_wheel', 1.0807608264173079)","('coatrack', 1.0909210937647649)","('coatrack', 1.0909521201780596)","('coatrack', 1.0909521201780596)","('coatrack', 1.1082621467333114)","('rubberduck', 1.1357941854504179)","('ironing', 1.327950277655101)","('cone', 1.0462131531151029)","('steering_wheel', 1.0094037564971539)"
1,"('fries', 1.0496246366465423)","('vacuum', 1.0596070950804948)","('vacuum', 1.0594249715892534)","('vacuum', 1.0594249715892534)","('rubberduck', 1.0926099337997712)","('coatrack', 1.1000085102658035)","('train', 1.3038377235417165)","('vacuum', 1.0410258271559956)","('train', 1.008436363904869)"
2,"('cow', 1.0469976403333552)","('rubberduck', 1.0457947237883571)","('rubberduck', 1.045798640768076)","('rubberduck', 1.045798640768076)","('vacuum', 1.0691266127585044)","('vacuum', 1.0930616993552429)","('rubberduck', 1.2566383613766345)","('rolette', 1.037210230829298)","('ironing', 1.0072090213022684)"
3,"('sink', 1.0441893019980135)","('helmet', 1.0390295470922188)","('helmet', 1.0390327201979328)","('helmet', 1.0390327201979328)","('barbie', 1.065145801207622)","('lamp', 1.0811617420622295)","('steering_wheel', 1.2503738377608302)","('tent', 1.0339553302764775)","('stove', 1.0065257939965608)"
4,"('helmet', 1.0431094337349722)","('wheelbarrow', 1.0389613436348968)","('wheelbarrow', 1.0389676099904332)","('wheelbarrow', 1.0389676099904332)","('slippers', 1.0635952524896837)","('stove', 1.0797202475478451)","('pot', 1.1828327558900589)","('sink', 1.0288842693401925)","('pot', 1.0061981176345436)"
5,"('coatrack', 1.043060528567214)","('sink', 1.0376759098260289)","('sink', 1.0376647454279802)","('sink', 1.0376647454279802)","('beachpail', 1.0568969194177014)","('tennisball', 1.0795112812180734)","('paper', 1.1779352649219044)","('parkingmeter', 1.0287260276161918)","('pants', 1.0051043931864456)"
6,"('paper', 1.040477899568525)","('pot', 1.036656280562988)","('pot', 1.0366517745874242)","('pot', 1.0366517745874242)","('wheelbarrow', 1.0526378131895529)","('ironing', 1.0726871274682017)","('vacuum', 1.1653291856918118)","('train', 1.0264112525192526)","('parkingmeter', 1.0049166652175967)"
7,"('pot', 1.039056394625563)","('pants', 1.0355806826286869)","('pants', 1.0355825433175938)","('pants', 1.0355825433175938)","('roadsign', 1.0522993733195367)","('barbie', 1.0630019818147527)","('cutter', 1.1499468786545148)","('steering_wheel', 1.0246085427178582)","('fries', 1.0041785159446008)"
8,"('train', 1.037640108301783)","('slippers', 1.0313604538120462)","('slippers', 1.0313614527987125)","('slippers', 1.0313614527987125)","('tennisball', 1.048093671227539)","('cheesegrater', 1.0574320511533868)","('cheesegrater', 1.127744103776748)","('pancake', 1.0223959746676823)","('hammer', 1.0040992543877598)"
9,"('dumbbell', 1.0376018089610608)","('sofa', 1.0311194990398085)","('sofa', 1.0311211385024532)","('sofa', 1.0311211385024532)","('train', 1.046808602829381)","('pancake', 1.0555934576965345)","('pants', 1.1221278437284548)","('baseballball', 1.0208923990222958)","('remotecontrol', 1.004039272570099)"
